Topic,Count,Name,Representation,Representative_Docs
9,28,9_network_node_wireless_sensor,"['network', 'node', 'wireless', 'sensor', 'wsn', 'cluster', 'wsns', 'energy', 'routing', 'networks']","['secured multimobile agent wireless sensor network improve qos wireless sensor networks wsns link internet thing iot expedient network monitoring tracking sense environmental activity goal futuristic technology adapt diversify technology relate wireless communication highlight idea iot link device service cloud computing wsn act backbone iot monitor sense region communicate accumulate datum betterment society sensor technology come datum processing capability low cost deployment importance wsn huge application wsn node limit energy ensure energy efficiency reliable data transfer key challenge wsn market value usd 46.76 billion 2020 predict grow cagr 17.64 percent 2021 2026 reach usd 123.93 billion market research mordor intelligence market wsns drive iot grow automation robotic industry raise need wireless sensor network asset monitoring security transportation well reliability communication technology advancement important issue research improve energy efficiency sensor node provide quality service qos aware datum transmission wsn research work unique modeling datum aggregation clustering scheme mobile agent mechanism propose maximize network energy efficiency reliability objective propose research work accomplish phase implementation framework develop conceptualize agent mechanism logical operation predefine node agent base communication protocol acp', 'secured assemblage base approach data aggregation wireless sensor networks wireless sensor network technology sense perform different task benefit wsns include health monitoring military environmental control industry etc wireless sensor networks wsn compose thousand ofsensor node capable sense actuate andrelaye collect information remarkableimpact un trustworthy transmission radio range network unattended nature wsns prone malicious user physical attack fundamental requirement network security datum collect wireless sensor network highly sensitive security crucial concernandit pose severe challenge traditional network threat include node outage passive information gathering node malfunction message corruption service denial etc development efficient effective defense mechanism counter attack need address stage design wsns research work security model propose help secure wireless sensor network wsns cluster head perform data aggregation process datum cluster secure cluster head important point consider research work propose method cluster head rotation monitor parameter cluster head rotation genetic algorithm mean clustering form cluster cluster head ch monitor find infect replace healthy node challenge secure communication node key exchange work propose enhance ecc method secured key exchange secure datum aggregation important point aggregator node need secure attack attack identify observe data pattern send node pattern different expected pattern conclude node compromise', 'design development efficient multicast routing protocols wireless sensor networks wireless sensor network wsn special breed wireless network sensor node primarily involve sense task sense task refer sense different parameter environment temperature pressure humidity wsns confine monitor environment extensively utilize monitor industrial process usually wsn central sink node call base station basically collect datum gather sensor nod primary concern sensor node conserve limited available energy resource sensor node operate battery source node need self organize establish effective communication node base station bs challenge lead introduction efficient routing algorithm design framework routing algorithm consider architectural requirement inherent feature wsn sudden topological change wsn node failure energy restriction create significant bottleneck maintain find route wsn routing protocol dynamic nature rout path calculate necessary maintain update rout information result extensive energy squandering energy efficient routing design cluster base routing node organize cluster cluster correspond cluster head primarily involve rout behalf cluster node cluster base routing increase energy efficiency wsns currently wsn generate explosive amount datum scenario result rapid depletion cluster head energy source necessary redesign cluster base rout protocol adapt large datum rout scenario']"
10,27,10_channel_user_modulation_antenna,"['channel', 'user', 'modulation', 'antenna', 'communication', 'wireless', 'mimo', 'otfs', 'transmitter', 'rate']","['design analysis duplex systems generation wireless communication systems cater grow demand high datum rate cellular network wireless local area network wlan need adopt innovative technology duplex fd technology promise double data rate enable simultaneous transmission reception frequency band fd raise challenge challenge self interference si fd receiver power leakage collocate transmitter recent advance employ technique analog digital domain signal cancellation electromagnetic isolation receiver transmitter suppress si noise floor make fd viable second challenge inter user interference simultaneous uplink downlink cellular network wlan fd capable base station bss access point ap half duplex hd user degrade downlink signal interference- plus noise ratio sinr cellular network effective user pair scheduling mode selection algorithm need mitigate user pair scheduling bs determine user schedule uplink downlink mode selection bs select fd mode hd mode operation depend feasibility decision take base inter user interference user channel connect bs user need feed cell user inter user link overwhelm uplink limit feedback overhead propose novel reduce feedback scheme user feed channel gain limited number inter user channel threshold corresponding user index propose user pair scheduling mode selection algorithm upsma upsma bs schedule user base uplink downlink sinr', 'information rates point point multi user wireless channels energy delay constraints thesis consider communication system have energy delay reliability constraint characterize optimal communication rate achievable system consider point point communication set context characterize achievable rate energy harvesting point point channel additive gaussian noise rate show close optimal rate assumption system architecture consider non energy harvesting point point block fade wireless channel gaussian noise subject canonical peak average power constraint characterize low upper bound maximal channel cod rate channel state information transmitter receiver give codeword length average probability error bound characterize water fill capacity finite block length regime subsequently extend finite block length result derive non energy harvesting channel case transmitter energy harvesting consider multi user communication scenario setting consider gaussian multiple access channel energy harvesting transmitter obtain capacity region channel transmitter have infinite energy buffer addition transmitter assume finite energy buffer characterize achievable rate region obtain inner bound ergodic capacity region block fade gaussian multiple access channel finite codeword length non vanishing average error probability peak power constraint codeword subsequently consider fade gaussian broadcast channel assumption transmitter receiver harvest energy receiver treat transmitter radio frequency energy source correspond paradigm simultaneous wireless information power transfer scenario characterize funda', 'orthogonal time frequency space modulation wireless communications future wireless communication system envision support diverse requirement include high mobility application scenario high speed train vehicle vehicle vehicle toinfrastructure communication dynamic nature wireless channel scenario make doubly dispersive nature orthogonal time frequency space otfs modulation recent dimensional 2d modulation technique specially suited doubly dispersive wireless channel fundamental feature otfs modulation information symbol otfs modulation multiplexe delay doppler domain time frequency domain conventional multicarri modulation technique advantage signal delay doppler domain channel rapidly vary time manifest slowly vary sparse channel view delay doppler domain simplify channel estimation rapidly time vary wireless channel thesis focus fundamental key aspect otfs modulation include asymptotic diversity analysis peak average power ratio analysis design low complexity equalizer otfs base multiple access system performance otfs millimeter wave 28 ghz 60 ghz channel presence oscillator phase noise provide formal analysis asymptotic diversity order achieve otfs modulation doubly dispersive channel analysis simulation asymptotic diversity order otfs modulation maximum likelihood detection propose phase rotation scheme otfs achieve diversity delay doppler domain extend diversity analysis propose phase rotation scheme otfs multiple input multiple output mimo set propose use space time coding achieve diversity spatial delay doppler domain']"
11,27,11_video_image_object_camera,"['video', 'image', 'object', 'camera', 'scene', 'human', 'surveillance', 'visual', 'task', 'vision']","['analysis video text detection extraction detection text character text string natural scene deliver significant information real time application type technique widely real time application technique propose text extraction natural scene image video technique suffer text extraction natural scene diverse pattern text camera distortion background variation background interface occlusion illumination etc numerous issue need take care recognize textual datum natural image common task perform character recognition localize text character word segmentation character recognition language model development etc research develop novel visual computing base approach detection recognition text natural scene image complete process research split module i.e. detection text utilize combine feature extraction method joint feature extraction recognition text deep cnn lastly detection recognition text video scene image complete experimental study carry matlab simulation test open source dataset icdar-2003 icdar 2005 icdar-2013 icdar-2015 street view text iiit 5k world dataset ostd msra td 500 dataset experiment joint feature extraction scheme present consider shape sift feature analysis method present curvature base shape analysis model different prevail standard technique fact depend pre define detection construct feature descriptor input text image pass canny edge detection process gradient compute image local curvature estimate help gradient edge map mode model compute pixel input image compute angular', 'environment independent key frame extraction moving cast shadow suppression video surveillance video key frame extraction dynamic research issue video arrangement data recovery video key frame approximate video frame arrangement represent lengthy video sequence reduce time process summarize video sequence reason key frame extraction video grouping multifold main design dimensionality reduction second reduction memory require store information decrease sided application process diminish datum video examination application key frame extraction bring proficient video summarization video content analysis datum recovery data handling present work great scope computer vision application traffic surveillance video compression video summarization security surveillance automatic object identification tracking human tracking etc research work present algorithm background subtraction capability adapt scene change time invariant sudden illumination variation propose algorithm make use lbp feature set artificial neural network ann model background frame result invariant gradual illumination variation control sudden illumination variation gradient background model temporal information present background subtraction algorithm outperform exist algorithm standard video sequence demonstrate result analysis section present algorithm achieve 85 0.009 precision false alarm respectively work hybrid shadow detection suppression algorithm present pixel region base approach candidate shadow pixel chromaticity extract texture base approach initiate eliminate non shadow pixel candidate shadow pixel increase accuracy', 'knowledge discovery video sequences knowledge discovery process discern novel information identifie potentially usable logical datum pattern encompass multiple stage complete specific task apply discovery method knowledge extraction concern effective flexible algorithm efficiently store retrieve analyze large dataset interpretation visualization result video viable form information representation record event activity real time capture lot information instance time increase crime rate security concern monitor purpose surveillance camera instal city highway home shopping mall etc camera routinely record hour video analyze gain previously unknown information video primary tool investigation anomalous incident report analyze video feed cumbersome mundane task continuously monitor personnel specially deploy repetitive task use computer vision technique analysis video prove effective video analysis application aim discover hide pattern video interpret video fundamentally need cope large datum processing video analyze effectively datum undergo processing reduce accomplish method reference frame base clustering base key frame extraction implement method able extract key frame effectively achieve average compression ratio 0.89 0.94 respectively interpretation object event activity video primarily base accurate segmentation move object video move object detection dynamic environment challenging task get accurate solution perform detection sudden illumination change non static background']"
12,24,12_traffic_lean_modelling_vehicle,"['traffic', 'lean', 'modelling', 'vehicle', 'design', 'manufacturing', 'commuter', 'chain', 'arrival', 'stage']","['support environmentally benign design conceptual stage environmentally benign design define cause little harm natural environment achieve reduce environmental impact design solution conceptualise eventually embody product early stage design iterative design activity generation evaluation modification selection perform affirm alternative design solution fragmented highly abstract idea designer take critical decision respect criterion cost aesthetic ergonomic environment etc easily rectify later stage imperative support sound decisionmake stage design conceptual stage number decision take turn environmental footprint design commit support environmentally benign design decision conceptual stage appropriate selection concept number solution variant critical require support evaluation solution variant respect environmental impact solution variant characterise highly abstract lack concrete description have incomplete information respect life cycle make challenge estimate environmental impact accuracy', 'method design intelligent public transportation system metropolitan area emergent intelligence metropolitan area consist huge population density urban area satellite city rural area town highly concentrate economic activity attract people rural area complex spatial structure reach milestone development road infrastructure support transportation system increase number vehicle traffic relate problem arise increase delay wastage resource high traffic accident economic loss environmental pollution security privacy etc problem solve intelligent public transportation system ipts consist advanced technology transportation engineering include information technology computational intelligence system control technology system engineering advanced technology play significant role reduce traffic congestion traffic accident traffic pollution energy consumption improve road traffic safety thesis design ipts public transport metropolitan area consist major functional unit commuter arrival prediction transport resource allocation privacy preservation context base service management transport management emergent intelligence ei technique agent efficiently application collect analyze monitoring share information take dynamic decision independence agent decision feature essential public transport system design commuters arrival prediction cap scheme analyze predict commuter pattern bus station commuter arrival density resource availability history dynamic arrival commuter vehicle propose scheme provide accurate analysis prediction commuter arrival density pattern bus station vicinity transport depot', 'macroscopic modelling heterogeneous disorder road traffic flow groundwork exist traffic flow theory lay 1950 1960 researcher develop economy like united states car follow modelling approach arguably popular type microscopic traffic flow model kinematic wave modelling approach basis macroscopic traffic flow theory introduce period object subsequent research spawn traffic develop economy classical traffic flow theory deal exclusively specific kind traffic lane discipline relatively homogeneous passenger car traffic traffic develop economy significant share wheeler motorize vehicle non motorized vehicle different static dynamic characteristic result fundamentally different traffic stream difference size manoeuvrability vehicle traffic stream follow lane discipline kind traffic describe literature heterogeneous disorder hd mixed traffic develop economy asia africa rapidly urbanizing need deal challenge traffic congestion urgent give country struggle pace rise urban population provide necessary road infrastructure effective efficient use exist infrastructure use traffic management solution like real time traffic monitoring signal control solution formulate traditional traffic flow theory alternative theory explicitly consider characteristic hd traffic urgently need present study hd traffic characterise division component vehicle class car following gap fill type']"
13,22,13_graph_hypergraph_paraphrase_network,"['graph', 'hypergraph', 'paraphrase', 'network', 'text', 'generation', 'language', 'vertex', 'similarity', 'information']","['neural models personalized recommendation systems external information personalized recommendation system use datum generate user item interaction example form rating predict different user interest available item recommend set item product user sparsity datum cold start scalability important challenge face developer recommendation system problem alleviate external information form social network heterogeneous information network cross domain knowledge thesis develop novel neural network model design personalize recommendation system available external information thesis study item recommendation set external information available form social network heterogeneous information network unlike simple recommendation setting capture complex relationship entity user item connected object essential social heterogeneous information network available social network socially connected user equal influence estimate quantum influence entity user item interaction network important implicit rating available address challenge propose novel neural network model sorecgat employ multi head multi layer graph attention mechanism attention mechanism help model learn influence entity accurately exploit heterogeneous information network hin gather multiple view item novel neural network model gamma graph multi view memory attention mechanism propose extract relevant information hins propose model end end model eliminate need learn similarity matrix offline manually select meta path optimize desire objective function second', 'hypergraph network models learning prediction representation presence higherorder relations thought relate object make assume relation pairwise high order involve possibly time reality high order relation exist spread multiple domain medical science e.g. coexist disease symptom pharmacology e.g. react chemical bibliometric e.g. collaborate researcher film industry e.g. cast crew human resource e.g. team social science e.g. negotiating conflict nation collection intersect high order relation lose context represent graph hypergraph graph like structure allow edge call hyperedge hyperlink span possibly node capture well quest well understand relation thesis focus solve network science orient problem involve hypergraph broad part study behavior usual graph orient network ignore hypergraph underpinning particularly establish skewness hypergraph introduce induced graph effect bias structure evaluation know problem link prediction network find underlie hypergraph structure make popular heuristic common neighbor overestimate ability predict link gather evidence theoretical empirical support need reestablish evaluation link prediction algorithm hypergraph derive network propose adjustment essentially undo undesired effect hypergraph performance score motivate observation extend graph base structural node similarity measure cater hypergraph similarity pair node specific establish mathematical transformation transfer graph structure base notion similarity node pair', 'deep learning hypergraphs graphs extensively model real world network dataset restrict pairwise relationship i.e. edge connect exactly vertex hypergraphs relax notion edge connect arbitrary number vertex hypergraphs provide mathematical foundation understanding learn large amount real world datum state art technique learn vertex representation graph datum pairwise relationship use graph base deep model graph neural network prominent observation inspire thesis neural network underexplored hypergraph datum group wise relationship main challenge involve handle relational nature hypergraph datum deal group relation group contain arbitrary number vertex fix number work tackle challenge fill important research gap following contribution deep learning hypergraph vertex level prediction explore connection graph neural network gnn spectral hypergraph theory connection gnn optimal transport connection lead novel vertex representation learning method hypergraph demonstrate effectiveness propose method vertex property prediction deep learning hypergraph link prediction propose novel hypergraph scoring function link prediction contrast exist method propose method apply predict missing link real world hypergraph hyperedge need represent similarity deep learning multi relational recursive hypergraphs unify method message pass different structure e.g. hypergraph heterogeneous graph etc single framework']"
14,21,14_guidance_uav_control_avoidance,"['guidance', 'uav', 'control', 'avoidance', 'law', 'constraint', 'angle', 'formation', 'saccade', 'maneuver']","['analysis kinematic constraints fixed wing uav formation flying rise autonomy lead increase usage unmanned aerial vehicles uav application allow uav perform complex hazardous mission ease formation multiple uav find application military civilian operation task like image mosaicking mapping target triangulation require multiple uav maintain rigid formation perform mission maneuver rigid formation fly require different speed bank angle individual uav fix wing uav operational limit bank angle speed bank angle speed requirement uav formation depend essentially formation geometry maneuver relate maneuver capability formation formation geometric configuration thesis present detailed analytical investigation kinematic operating point speed bank angle fix wing uav fly rigid formation represent speed turn radius space leader maneuver region deduce abide kinematic constraint uav formation addition thesis consider converse problem feasible follower configuration assignment give leader maneuver analysis derive feasible spatial region leader instantaneous position define distance bear angle limit generate give formation arbitrary initial condition maintain present aspect uav formation fly address thesis consider proportional derivative control base guidance logic command follower heading speed variation extensive validation study carry guidance method provide insight dynamical nature kinematic parameter vary feasible non feasible formation consider time vary leader maneuver need smooth transition follower kinematic parameter thesis propose virtual target base guidance methodology', 'advanced guidance autopilot design autonomous lunar soft landing aiming development long term lunar research base scientific exploration futuristic objective soft landing moon gain renew interest worldwide work focus optimal guidance autopilot design multiphase autonomous soft landing lunar surface objective guidance design translate spacecraft parking orbit designate landing site near zero touchdown velocity process development different guidance method capable onboard implementation explore context model predictive static programming mpsp base optimal guidance design carry multi constraint soft landing mission mpsp computationally efficient numerical guidance algorithm require initial guess control solution iterate order obtain good guess history inverse polynomial base explicit guidance formulate nonlinear guidance framework minimum jerk base explicit guidance law target feature propose critical terminal descent phase soft landing bottleneck exist guidance law guarantee ground collision avoidance initial continuity guidance command successive phase terminal vertical orientation spacecraft tune difficulty like time selection comprehensively address formulation different guidance method detailed simulation study present second thesis focus autopilot design order realize guidance command actuator unit nonlinear dynamic inversion base autopilot design carry degree freedom spacecraft model spacecraft compose set thrust engine actuator unit translational motion spacecraft drive primary thruster throttleable', 'advanced guidance laws field view impact angle constrained engagements thesis deal development guidance law interceptor seeker field view fov impact angle constraint class guidance problem field of- view impact angle constrain guidance midcourse guidance dual pulse interceptor look angle constraint consider thesis problem decision variable lateral acceleration command second problem additional decision variable second thrust pulse firing time problem guidance law propose nonlinear control theory backstepping control base guidance law ii nonlinear mapping base guidance law dimensional engagement iii partial integrate guidance control base guidance law second problem singular perturbation technique derive guidance law backsteppe control base guidance law propose impact angle field view constrain engagement planar geometry kinematic equation govern problem modify strict feedback form derive guidance law backsteppe technique look angle virtual input backstepping structure design feasible domain achieve desire impact angle barrier lyapunov functional derive guidance law track virtual input violate field view constraint capturability propose guidance law analyze relative velocity plane simulation result present constant speed realistic interceptor model efficacy guidance law backsteppe control base guidance law extend intercept target dimensional space nonlinear transformation interception geometry control define impact angle term flight path angle interceptor target']"
15,21,15_speech_representation_mapping_speaker,"['speech', 'representation', 'mapping', 'speaker', 'articulatory', 'learning', 'acoustic', 'filter', 'recognition', 'signal']","['acoustic articulatory mapping analysis improvements neural network learning paradigms human speech acoustic signal perceive carry linguistic paralinguistic e.g. speaker identity emotional state information speech acoustic produce result different temporally overlap gesture speech articulator lip tongue tip tongue body tongue dorsum velum larynx regulate constriction different part vocal tract estimate speech acoustic representation articulatory movement know articulatory- acoustic forward aaf mapping i.e. articulatory speech synthesis estimate articulatory movement speech acoustic know acoustic articulatory inverse aai mapping acoustic- articulatory mapping function know complex nonlinear complexity mapping depend number factor include kind representation acoustic articulatory space typically representation capture linguistic paralinguistic aspect speech aspect contribute complexity mapping unknown representation turn acoustic articulatory mapping affect speak rate nature quality mapping vary speaker complexity mapping depend datum speaker number speaker learn mapping function language variation impact mapping require detailed investigation thesis analyze factor detail develop neural network base model learn mapping function robust factor electromagnetic articulography ema sensor datum directly past articulatory representation learn acoustic articulatory mapping function thesis', 'probabilistic source filter model speech human respiratory system play crucial role breathing swallow ing play essential role speech production unique human speech production involve expelling air lung air flow lung lip kinetic energy get con verte sound different structure modulate generate sound finally radiate lip speech consist informa tion linguistic content speaker identity emotional state accent etc apart speech scenario sound generate human respiratory system abnor malitie muscle motor control unit lung directly affect generate speech variety sound generate structure breathe include snoring stridor dysphagia cough source filter sf model speech early model speech production assume speech result filter excita tion source signal linear filter source filter assume independent sf model represent speech pro duction mechanism need tractable way estimate excitation filter estimation give speech fall general category signal deconvolution problem unique solution variation source filter model literature assume different structure source filter way estimate parameter source filter estimated parameter speech application automatic speech recognition text speech speech enhancement etc sf model model speech production application include parkinson disease classification asthma classification', 'spectrotemporal processing speech signals riesz transform speech signal possess rich time vary spectral content make analysis challenging signal processing problem develop method accurate speech analysis direct impact application speech synthesis speaker recognition speech recognition voice morphing etc widely tool visualize time vary spectral content spectrogram represent spectral content signal joint time frequency plane spectrogram view collection localize spectrotemporal patch analyze structure dimensional pattern spectrogram propose model amplitude modulate frequency modulate fm sinusoid justification fm model speech provide base physical process generation speech production perspective fm component correspond vocal tract smooth envelope excitation signal respectively demonstrate analyze speech jointly time frequency reveal important characteristic evident purely time domain frequency domain analysis central problem dissertation demodulation speech spectrogram yield fm component advocate use riesz transform extension hilbert transform demodulate narrowband pitch adaptive spectrogram interestingly fm component obtain result demodulation potential benefit speech analysis demonstrate impact propose modeling technique vocal tract filter estimation voice unvoiced component separation pitch tracking speech synthesis periodic aperiodic decomposition speech signal accuracy estimate speech parameter validate consider task speech reconstruction thesis focus theoretical development relate modeling con']"
16,20,16_epoxy_blend_polymer_composite,"['epoxy', 'blend', 'polymer', 'composite', 'ppe', 'property', 'machining', 'mechanical', 'fibre', 'textile']","['structure property correlation epoxy composite contain carbonaceous nanoparticle epoxy widely thermosette material carbon fiber composite combined superior thermal mechanical property make potential candidate myriad application epoxy suffer certain demerit brittle behavior low fracture toughness thesis attempt overcome demerit epoxy incorporation functionalized multi walled carbon nanotube mwnt graphene oxide different approach follow case reinforcing agent functionalize macromolecule miscible host pre curing case nanoparticle graft epoxy chain improve chemical compatibility host approach follow mainly improve state dispersion nanoparticle composite enhance interfacial adhesion epoxy host carbon fiber cf case laminate thesis entitle structure property correlation epoxy composite contain carbonaceous nanoparticle systematically thoroughly study effect functionalize carbonaceous particle property epoxy composite epoxy cf laminate', 'mechanical cure behavior tetra functional epoxy reinforce nano filler synopsis tetra functional epoxy resin matrix aerospace composite owe excellent mechanical adhesive corrosion resistance thermal property epoxy high performance thermosetting polymer brittle highly cross link network limitation address epoxy fit aerospace application plenty potential filler material organic inorganic nano particle cnts dimensional nanomaterial graphene derivative study reinforce agent epoxy composite high aspect ratio active surface area nano filler contribute improved mechanical performance epoxy composite nano filler active surface chemistry essential understand effect epoxy hardener curing reaction chapter thesis briefly introduce type grade epoxy resin cure agent stage cure reaction literature effect nano filler cure behaviour epoxy composite literature address mechanical property epoxy composite low loading nano filler review find study inorganic dimensional nano filler toughen agent epoxy composite limited scope cure behaviour tetra functional epoxy presence nano filler widely report chapter thesis list material characterization method protocol work model equation evaluation cure kinetic explain detail standard testing procedure calculate mechanical property epoxy composite explain detail chapter thesis contain work cure mechanical behaviour tetra functional epoxy composite reinforce nano filler work chapter', 'understand demixe behavior structure property correlation graphene oxide contain lcst blend number researcher study effect different nanoparticle phase separation lcst polymer blend system nanoparticle carbon nanotube silica incorporate miscible blend system mention nanoparticle study affect phase separation different polymer blend tend pose plethora pool limitation despite fact possess high aspect ratio carbon nanotube functional group surface make difficult graft different polymer chain surface creation functional group surface require use harsh acidic treatment usually affect overall structure nanoparticle process cumbersome accord ginzburg theory size geometry nanoparticle play big role decrease increase phase separation temperature miscible polymer blend system greatly affect use silica nanoparticle usually come different size henceforth thesis graphene oxide nanosheet filler take advantage multiple functional group make easy functionalization thesis initially focus different method fabricate polymer blend polymer blend preparation affect thermal concentration fluctuation comparative study method solution melt mixing conduct thesis method polymer blend preparation paramount importance affect overall final property blend system focus method polymer blend preparation main thrust thesis fully understand effect dimensional graphene oxide nanosheet derivate polymer graft graphene oxide demixing temperature polymer chain dynamic morphology evolution pmma san successfully manage graft polymer chain different molecular weight graphene oxide nanosheet take advantage presence multiple functional group surface study derivative affect miscibility cooperative relaxation pmma san go step choose classical route graft polystyrene acrylonitrile polymer chain surface graphene oxide make use solvent free reaction mechanism route industrially favorable use large quantity solvent harmful human life environment polymer general highly susceptible uv degradation degradation usually lead breakage polymer chain result reduction molecular weight significantly affect mechanical property keep mind thesis focus develop polymer blend composite system ability absorb uv radiation different state morphology miscible immiscible ensure polymer blend composite perfectly absorb uv radiation irrespective temperature condition different application']"
17,16,17_arm_agent_algorithm_learning,"['arm', 'agent', 'algorithm', 'learning', 'reward', 'markov', 'learn', 'decision', 'problem', 'reinforcement']","['algorithms challenge practical reinforcement learning reinforcement learning rl real world application face major hurdle foremost safety physical system control learn agent vary environment condition autonomous agent function rl agent learn control system explore available action operate state rl agent exercise exploratory action system enter unsafe operation lead safety hazard system human supervise system rl algorithm need respect safety constraint limited available information additionally rl autonomous agent learn optimal decision presence stationary environment stationary assumption environment restrictive real world problem like traffic signal control robotic application etc encounter situation non stationary environment scenario rl algorithm yield sub optimal decision thesis develop algorithmic solution challenge safety non stationary environmental condition order handle safety restriction facilitate safe exploration learn thesis propose cross entropy method base sample efficient learn algorithm algorithm develop constrain optimization framework utilize limited information learning feasible policy learn iteration exploration guide manner minimize safety violation algorithm second challenge describe goal algorithm maximize long term discount reward accrue latent model environment change time achieve algorithm leverage change point detection algorithm find change statistic environment result statistical algorithm reset learning policy', 'algorithms online learning structured environments online learning deal study make decision sequentially information gather way typical goal online learn agent maximize reward gain learning identify good possible action maximum expect reward study problem setting environment inbuilt structure structure exploit learn agent make decision accelerate process learn datum study number problem dissertation begin regret minimization multi user online recommendation expect user item reward matrix low rank small number user item address cold start problem recommendation system agent initially information reward matrix gather information gradually interaction i.e. recommend item arrive user use result low rank matrix estimation design efficient online algorithm exploit low rank underlying reward matrix analyze algorithm enjoy well regret algorithm low rank structure account study problem pure exploration good arm identification linear bandit problem time learner choose action vector arm receive noisy realization reward mean linearly dependent unknown vector choose action aim identify arm yield maximum reward expectation quickly possible specifically interested situation ambient dimension unknown parameter vector small compare number arm inherent problem structure design provably optimal efficient algorithm identify good arm quickly study exploit intrinsic geometry problem lead design statistically', 'sequential controlled sensing detect anomalous process thesis study problem identify anomalous arm multi armed bandit quickly possible subject upper bound error probability know odd arm identification problem fall class optimal stopping problem decision theory embed framework active sequential hypothesis testing prior work odd arm identification deal independent identically distribute observation arm provide know extension case markov observation arm analysis result asymptotic regime vanish error probability associate arm ergodic discrete time markov process evolve common finite state space notion anomaly transition probability matrix tpm markov process arm \\em odd arm p_{1}$ non odd arm different p_{2}$ p_{2}\\neq p_{1}$. learn agent goal find odd arm sample arm sequentially give time observe state markov process sample arm markov process unobserved arm remain frozen observed state sampling instant \\em rest arm continue undergo state evolution \\em restless arm tpm p_{1}$ p_{2}$ know learn agent unknown analyse follow case rest arm tpm unknown restless arm tpm know restless arm tpm unknown case present asymptotic lower bind \\color{black growth rate expect time require find odd arm subsequently devise sequential arm selection policy achieve lower bound asymptotically optimal key ingredient analysis setting rest arm observation markov process arm long term fr']"
18,16,18_granular_particle_shear_elastic,"['granular', 'particle', 'shear', 'elastic', 'material', 'dynamic', 'cut', 'vortex', 'dilation', 'flow']","['dynamic rheology non colloidal suspensions active soft deformable particles classical work suspension rigid spherical ellipsoidal particle carry einstein jeffery nature industry come material deformable active significant work suspension deformable particle drop vesicle capsule biological cell past decade attention pay elastic particle suspend newtonian fluid suspending medium newtonian deformability activity suspend particle suspension behave non newtonian dilute limit interaction challenge incorporate significant progress dense regime particle pair interact thin film intervene fluid entire work thesis divide part work devoted obtain dynamic initial ellipsoidal elastic viscoelastic particle externally impose simple shear axisymmetric extensional flow orientation dynamic rigid ellipsoidal particle study analytically jeffery particle report exhibit tumble extend analysis obtain orientation extension dynamic elastic particle elastic particle exhibit different type dynamic know steady state tank treading tumbling trembling phase diagram construct identify different regime dynamic dimensionless stiffness initial aspect ratio and#969;0 parameter space dynamic particle study initially particle align plane shear extend obtain complex plane dynamic second obtain dynamic pair elastic particle interact lubrication regime axisymmetric compression simple shear flow lubrication pressure fluid film particle', 'mechanic cut granular medium cutting important deformation process encounter instance engineering infrastructure trawl trench excavation thesis present result experimental program orthogonal cutting granular material perform plane strain condition kinematic granular material subject large deformation understand direct imaging concomitant image analysis suite experiment perform understand effect boundary condition material system constraint mechanic cut suite experiment perform cut set granular material spherical glass bead angular cauvery delta sand vary main parameter orthogonal cutting problem rake angle/ angle attack tool initial depth cut respect free surface granular ensemble cut speed overall deformation material reach steady state initial transient phase observe angle repose pile form tool instantaneous velocity field bifurcation flow occur tool tip result velocity jump plane direction coincide coulomb failure surface velocity jump manifest region intense shear emanating tool tip bandquot like appearance effective strain rate contour plot velocity profile shear band assume sigmoidal shape fit error function allow extract length scale associate velocity jump observe normalize width shear band decrease particle size increase width shear band granular material observe insensitive change rake angle cut speed initial depth cut material constant give system size', 'rheology dense granular material granular material frequently encounter daily life widely industrial process characterise flow material prove challenging lack simple measurement technique recent work group show granular material slowly shear cylindrical couette device standard rheometer accessory exhibit anomalous rheological behaviour show component stress measure increase exponentially depth comparison stress static column grain saturate depth show behaviour explain presence toroidal vortex span entire system propose vortex drive shear induce dilation dilatancy property granular material analogue fluid dilatancy decrease density region shear consequence rigid granular particle require free volume work ask dilation origin vortex anomalous stress profile test validity claim replicate validate result check robustness vortex flow ask general effect dilation test complicated flow flow split couette device variation cylindrical couette device device shear originate boundary moving stationary base plate variety dilation drive vortex similar feature vortex observe cylindrical couette device despite effect dilatancy generate vortex constitutive model treat steady granular flow incompressible ignore dilation propose extension know constitutive model slow granular flow critical state plasticity model propose deformation point depend']"
