record_id,source_table,institution,department,year,project_title,nlp_text,clean_text,detected_language,topic_id
90,grants,Indian Institute of Science Bangalore,EE,2026,Stable and Theoretically Grounded Model-Based Reconstruction with Trained Regularizers,Stable and Theoretically Grounded Model-Based Reconstruction with Trained Regularizers,stable theoretically grounded model base reconstruction train regularizers,en,0
91,grants,Indian Institute of Science Bangalore,Physics,2026,A comprehensive investigation of novel transport phenomena in topologically non-trivial hydrodynamic states of electrons.,A comprehensive investigation of novel transport phenomena in topologically non-trivial hydrodynamic states of electrons.,comprehensive investigation novel transport phenomenon topologically non trivial hydrodynamic state electron,en,0
92,grants,Indian Institute of Science Bangalore,CES,2026,Deciphering the genetic basis of troglomorphy in the Indian cave fauna,Deciphering the genetic basis of troglomorphy in the Indian cave fauna,decipher genetic basis troglomorphy indian cave fauna,en,1
93,grants,Indian Institute of Science Bangalore,ECE,2026,Novel Platform for Harnessing Proximity Effects in 2D Materialâ3D Magnetic Heterostructures for AI Memory and IoT Sensing,Novel Platform for Harnessing Proximity Effects in 2D Materialâ3D Magnetic Heterostructures for AI Memory and IoT Sensing,novel platform harnessing proximity effects 2d materialâ3d magnetic heterostructures ai memory iot sensing,en,0
94,grants,International Institute of Information Technology Bangalore,ECE,2026,Toward Practical Non-Terrestrial Networks: Physical Layer Innovations and 3GPP-Compliant Prototyping,Toward Practical Non-Terrestrial Networks: Physical Layer Innovations and 3GPP-Compliant Prototyping,practical non terrestrial networks physical layer innovations 3gpp compliant prototyping,en,0
95,grants,Indian Institute of Science Bangalore,Physics,2026,Bridging Transport and Optics in MoirÃ© Systems: A Platform for Strongly Correlated Quantum Matter,Bridging Transport and Optics in MoirÃ© Systems: A Platform for Strongly Correlated Quantum Matter,bridge transport optics moirã systems platform strongly correlated quantum matter,en,0
96,grants,Indian Institute of Science Bangalore,ME,2026,Tailoring Hydrogel Mechanical Properties via In-situ Raman Spectroscopy of Polymer Networks for Biomedical Applications,Tailoring Hydrogel Mechanical Properties via In-situ Raman Spectroscopy of Polymer Networks for Biomedical Applications,tailor hydrogel mechanical properties situ raman spectroscopy polymer networks biomedical applications,en,0
97,grants,Indian Institute of Science Bangalore,ECE,2026,Multi-frequency Space-Time Metasurfaces for Terahertz Communication and Sensing,Multi-frequency Space-Time Metasurfaces for Terahertz Communication and Sensing,multi frequency space time metasurfaces terahertz communication sensing,en,0
98,grants,Indian Institute of Science Bangalore,Physics,2026,Tailoring quantum phases in rhombohedral graphene for dissipationless electronic devices,Tailoring quantum phases in rhombohedral graphene for dissipationless electronic devices,tailor quantum phase rhombohedral graphene dissipationless electronic device,en,0
99,grants,Indian Institute of Science Bangalore,CE,2026,Folding Transitions and Interactions of Antimicrobial Peptides with Realistic Bacterial Membrane Models,Folding Transitions and Interactions of Antimicrobial Peptides with Realistic Bacterial Membrane Models,fold transitions interactions antimicrobial peptides realistic bacterial membrane model,en,0
100,grants,Indian Institute of Science Bangalore,CES,2026,"Reefs, Rising Temperatures and Resilience: Integrating Ecology, Behaviour and Physiology to Understand and Predict Responses to Climate Change in Coral Reef Ecosystems","Reefs, Rising Temperatures and Resilience: Integrating Ecology, Behaviour and Physiology to Understand and Predict Responses to Climate Change in Coral Reef Ecosystems",reef rise temperature resilience integrating ecology behaviour physiology understand predict response climate change coral reef ecosystems,en,1
101,grants,Indian Institute of Science Bangalore,ME,2026,Development of two-phase passive spreaders for thermal management of compact high heat flux electronics,Development of two-phase passive spreaders for thermal management of compact high heat flux electronics,development phase passive spreader thermal management compact high heat flux electronic,en,0
102,grants,Indian Institute of Science Bangalore,ECE,2026,CuâO Thin-film Transistors using low-temperature plasma-enhanced deposition for BEOL CMOS,CuâO Thin-film Transistors using low-temperature plasma-enhanced deposition for BEOL CMOS,cuâo thin film transistors low temperature plasma enhance deposition beol cmo,en,0
103,grants,Indian Institute of Science Bangalore,Physics,2026,Cosmological Quest for Dark Matter: Primordial Black Holes as a Novel Frontier,Cosmological Quest for Dark Matter: Primordial Black Holes as a Novel Frontier,cosmological quest dark matter primordial black holes novel frontier,en,0
104,grants,Indian Institute of Science Bangalore,ME,2026,Multiscale-Multiphase simulations of ultrasonic atomizers for biomedical applications,Multiscale-Multiphase simulations of ultrasonic atomizers for biomedical applications,multiscale multiphase simulation ultrasonic atomizer biomedical application,en,0
105,grants,Indian Institute of Science Bangalore,Math,2026,"Nonlinear equations and their applications to Kahler geometry, holomorphic vector bundles, and physics","Nonlinear equations and their applications to Kahler geometry, holomorphic vector bundles, and physics",nonlinear equation application kahler geometry holomorphic vector bundle physics,en,0
106,grants,Indian Institute of Science Bangalore,Physics,2026,Entanglement entropy and Harish-Chandra characters,Entanglement entropy and Harish-Chandra characters,entanglement entropy harish chandra character,en,0
