Grant_ID,Title,Amount,Year,Source_URL
GRANT_00045,Pushing the limits of solid-state nanopore based single molecule protein sequencing,17504120,2022,
GRANT_00046,A Blind Modulation Classification (BMC) Method for Linearly Modulated Signal over Single Carrier Systems,3000000,2022,
GRANT_00047,Acoustic Modeling and Analysis of Pulmonary System,0,2023,
GRANT_00048,Dispersion relations for nonlinear wave propagation in periodic media through perturbation analysis,0,2023,
GRANT_00049,Solutions of the Boltzmann transport equation for phonons and electrons beyond the relaxation time approximation,0,2023,
GRANT_00050,Optimal Topology Design for Resilient Networked CPS,0,2023,
GRANT_00051,Investigating cosmological imprints of dynamical gauge fields during inflation,0,2023,
GRANT_00052,Investigation of the lifetime frontier of particle physics,0,2023,
GRANT_00053,Mathematical Models of Intrinsic Noise and Heterogeneity in Ecosystem Dynamics,0,2023,
GRANT_00054,Theoretical aspects of some Physics Beyond Standard Models.,0,2023,
GRANT_00055,Some existence and rigidity problems in Kahler geometry,0,2023,
GRANT_00056,Ergodic principles in Iwasawa theory,0,2023,
GRANT_00057,Quantifying the effect of antibiotic pollution on soil microbial functions and the nitrogen cycle,3872790,2024,
GRANT_00058,Closed-loop recyclable and fast curing Epoxy mediated by covalent adaptable network,5807950,2024,
GRANT_00059,Non-linear Hall Effect: Mechanisms and Materials,3503315,2024,
GRANT_00060,Collective swimming of Chlamydomonas reinhardtii under confinement,1441000,2024,
GRANT_00061,Proof of concept and system analysis of the isolation of high-grade curcumin from turmeric using low-cost membrane separations,3838912,2024,
GRANT_00062,Coupled dynamics in 2D nanoresonators,6310541,2024,
GRANT_00063,"Investigation of soliton dynamics through multi-core photonic crystal fiber couplers and array waveguides for efficient all-optical logic adders, subtractors and soliton based quantum computing",2699441,2024,
GRANT_00064,Development of Advanced Composites with Integrated Battery and Photovoltaic Cells,7830416,2024,
GRANT_00065,Green ironmaking: Multiscale model to study hydrogen injection in a shaft furnace (DRI) and hydrogen injection with coal in the blast furnace with validation,5479320,2024,
GRANT_00066,Study on affine Demazure modules,597709,2024,
GRANT_00067,Design and Development of Light Weight Impact Resistant Sandwich Composite Fabricated using CFRP Face sheet and Cenosphere Reinforced PEEK Auxetic Core: An Integrated Experimental-Computational Approach,3680688,2024,
GRANT_00068,Nanoelectrode arrays for high resolution recording of neural activity,6417435,2024,
GRANT_00069,Development of new design architecture to realize high Figure of Merit piezoelectric MEMS resonators.,6639688,2024,
GRANT_00070,Simulations of combustion dynamics in hydrogen-fired reheat burner towards decarbonization,4510044,2024,
GRANT_00071,Design and analysis of data center network transport protocols for low latency,3639720,2024,
GRANT_00072,Mechanics of Deformation of Non-Woven Nanofiber Networks & Their Composites,5187717,2024,
GRANT_00073,"Bandits, Drones and Data Structures Through the Lens of Computational Geometry",3372790,2024,
GRANT_00074,Design and Development of Strongly Luminescent Boron Based Chiroptical Materials for Bio-imaging Applications,7976788,2024,
GRANT_00075,"Fully-printed, flexible negative capacitance field-effect transistors (nc-FETs) and logics",6529688,2024,
GRANT_00076,Realization and Study of Modulation-Doping-Induced Interfacial Phase Transitions in Transition Metal Compounds,5698000,2024,
GRANT_00077,INERTIA: In-memory Computing-based Energy-efficient Unified ML Accelerator,7206480,2024,
GRANT_00078,"Theoretical, numerical, and experimental investigation of the collective behaviour of active magnetic swarms",8165626,2024,
GRANT_00079,Fin-channel gallium nitride microwave transistors,3427680,2025,
GRANT_00080,"An Eight Institution Partnership for Advancing Materials Research and Development: From Fundamental Design to Emerging Applications in Structural, Functional and Biomaterials Spaces",1036618200,2025,
GRANT_00081,Exciton Delocalization versus Ultrafast Internal Conversion â Probing Structure-Function Relations in Artificial Light-harvesting Chlorosomes Through Two-dimensional Electronic Spectroscopy,23810414,2025,
GRANT_00082,"Fractional Orbitals and Tight-Binding Gauge Fields: Theory, Simulation, and Detection",8137920,2026,
GRANT_00083,Understanding the atomistic mechanism of degradation of compositionally complex multi-component alloys in severe corrosive environments.,8022096,2026,
GRANT_00084,Reconstream: Systematic Reconstruction of Long-Term Streamflow Records in Indian Rivers using Geomorphology-Guided Machine Learning,9120940,2026,
GRANT_00085,Theoretical investigations of the non-Hermitian dynamics of systems with mechanochemical feedback,9120000,2026,
GRANT_00086,First-principles and experimental data-driven accurate multiscale modeling to design catalysts and processes for COâ electroreduction,8848800,2026,
GRANT_00087,Magnetic and conducting particles in time-dependent magnetic fields.,7747642,2026,
GRANT_00088,Creep-Fatigue Behavior of 9Cr ferritic-martensitic ODS Steel: Integrated Experimental and Modeling Approach for Advanced Energy Applications,6611280,2026,
GRANT_00089,The science and design of robotic sandworms: Propulsion of deformable objects through particulate media,28151949,2026,
GRANT_00090,Stable and Theoretically Grounded Model-Based Reconstruction with Trained Regularizers,6130944,2026,
GRANT_00091,A comprehensive investigation of novel transport phenomena in topologically non-trivial hydrodynamic states of electrons.,4590720,2026,
GRANT_00092,Deciphering the genetic basis of troglomorphy in the Indian cave fauna,9555600,2026,
GRANT_00093,Novel Platform for Harnessing Proximity Effects in 2D Materialâ3D Magnetic Heterostructures for AI Memory and IoT Sensing,29801100,2026,
GRANT_00094,Toward Practical Non-Terrestrial Networks: Physical Layer Innovations and 3GPP-Compliant Prototyping,9090691,2026,
GRANT_00095,Bridging Transport and Optics in MoirÃ© Systems: A Platform for Strongly Correlated Quantum Matter,43788320,2026,
GRANT_00096,Tailoring Hydrogel Mechanical Properties via In-situ Raman Spectroscopy of Polymer Networks for Biomedical Applications,22397420,2026,
GRANT_00097,Multi-frequency Space-Time Metasurfaces for Terahertz Communication and Sensing,40861340,2026,
GRANT_00098,Tailoring quantum phases in rhombohedral graphene for dissipationless electronic devices,22235250,2026,
GRANT_00099,Folding Transitions and Interactions of Antimicrobial Peptides with Realistic Bacterial Membrane Models,7571520,2026,
GRANT_00100,"Reefs, Rising Temperatures and Resilience: Integrating Ecology, Behaviour and Physiology to Understand and Predict Responses to Climate Change in Coral Reef Ecosystems",9156729,2026,
GRANT_00101,Development of two-phase passive spreaders for thermal management of compact high heat flux electronics,9916800,2026,
GRANT_00102,CuâO Thin-film Transistors using low-temperature plasma-enhanced deposition for BEOL CMOS,12980000,2026,
GRANT_00103,Cosmological Quest for Dark Matter: Primordial Black Holes as a Novel Frontier,0,2026,
GRANT_00104,Multiscale-Multiphase simulations of ultrasonic atomizers for biomedical applications,0,2026,
GRANT_00105,"Nonlinear equations and their applications to Kahler geometry, holomorphic vector bundles, and physics",0,2026,
GRANT_00106,Entanglement entropy and Harish-Chandra characters,0,2026,
GRANT_00107,Fault-Tolerant Logical Operators in Quantum Error-Correcting Codes,0,2026,
GRANT_00108,Analytic and arithmetic aspects of Automorphic forms and L-functions,0,2026,
GRANT_00109,"Critical phenomena in percolation models, random graphs, and random trees",0,2026,
GRANT_00110,Toeplitz operators on Hardy and Bergman spaces over domains,0,2026,
GRANT_00111,"High-Current, Compact Power Supplies for AI-centric GPU Computing",14588200,2026,
GRANT_00112,"Efficient Sensing, Communication, and Learning for Multi-Modal Artificial Intelligence of Things",12619200,2026,
GRANT_00113,Indigenous development of twin cold finger driven GM cryocooler based Hydrogen / Helium / Nitrogen / Biogas liquefier,9872640,2026,
GRANT_00114,Mathematical techniques and computational methods for hybrid quantum-HPC accelerated large-scale ab initio material modeling,0,2026,
GRANT_00115,Can Social Learning Offset Bounded Rationality?,0,2026,
GRANT_00116,"hp-Adaptive Galerkin Framework for Structured Population Dynamics: Theory, Error Estimates, and Applications to Age-Space PDEs",0,2026,
GRANT_00117,Virtual Automation Lab with Augmented/Virtual reality,3000000,2019,
GRANT_00118,Deep Learning for the efficient Numerical Solution of Differential Algebraic Equations,420000,2019,
GRANT_00119,Non-Invasive technique of Nailfold capillaroscopy for diagnosis of Type â 2 diabetes Mellitus,500000,2019,
GRANT_00120,Performance characterization of flexible wearable Antennas for Dynamic IoT Connectivity,1000000,2019,
GRANT_00121,Anomaly Detection Using Machine Intelligence Techniques For Mobile Computing Networks,900000,2019,
GRANT_00122,Smart Reporter,5000,2019,
GRANT_00123,Short Term Training Program,193277,2019,
GRANT_00124,Short Term Training Program,391388,2019,
GRANT_00125,Design and Development of Virtual Comprehensive Neonatal monitoring system,2388760,2019,
GRANT_00126,Centre of Learning for setting up Microwave and Antenna Lab,4000000,2019,
GRANT_00127,"Study, Analysis and Optimization of workplace design parameters to improve worker efficiency through Taguchiâs Orthogonal Array Approach",70000,2019,
GRANT_00128,Modernization of Wireless Communication Lab,769000,2019,
GRANT_00129,Advanced Manufacturing technology (AMT)/ “Design and Development of Smart Robotic Based Magnetically Impelled Arc Butt welding equipment for joining Ferrous and Non Ferrous Tubes,4788720,2019,
GRANT_00130,"Fabrication and characterization on thin films for sensors, NV memory and waveguide application",1500000,2020,
GRANT_00131,Awarded Teachers Associateship for Research Excellence (TARE),275000,2020,
GRANT_00132,IOT enabled smart sanitizer vending machine,10000,2020,
GRANT_00133,Investigations on electronic and optoelectronic properties of transition metal doped chalcogenide materials suitable for phase change memory (PCM) applications,2692000,2020,
GRANT_00134,"Development of a Novel, cost effective Wind/pv Micro grid for tribal community living",950000,2020,
GRANT_00135,"Development of a Novel, cost effective Wind/pv Micro grid for tribal community living",174000,2020,
GRANT_00136,"Energy conservation and efficiency, Karnataka Renewable Energy Development Limited",100000,2020,
GRANT_00137,AICTE Training and learning (ATAL) Academy Programme (IMMERSIVE VIRTUAL REALITY),93000,2020,
GRANT_00138,5G Technology,93000,2020,
GRANT_00139,Are retinal vascular abnormalities endophenotype in Schizophrenia : an examination in first degree relatives,3242000,2020,
GRANT_00140,Jaivika tyajya vibhajaka - a smart system to handle covid-19 biomedical waste,18000,2020,
GRANT_00141,Non-contact fever and respiration monitoring system for mass screening,32000,2020,
GRANT_00142,Air sea coupling of Indian ocean and its climatic responses,2149000,2020,
GRANT_00143,Combined studies of materials discovery with machine learning and experimental for the development of high performance piezoelectric materials,300000,2020,
GRANT_00144,Recurrent Neural Network based Sentiment analysis approach to diagnose Mental Disorders using scanned patientâs Diary images,200000,2020,
GRANT_00145,STTP-AICTE-AQIS- INTELLIGENT EDGE COMPUTING TECHNIQUE FOR DIVERSE APPLICATIONS(Grant),285000,2020,
GRANT_00146,Technology Development and Automation of Hydroponic Farms in Urban areas using enhanced precision farming by incorporating loT and Cyber Physical System,300000,2020,
GRANT_00147,Predictive lung deposition factor using low cost sensors to measure pollutant concentration and individual physiological properties,7000,2020,
GRANT_00148,Study on environmentally friendly concrete- Alkali activated concrete,70000,2020,
GRANT_00149,Web-crawler to scrape data,72000,2020,
GRANT_00150,Technology Development and Automation of Hydroponic Farms in Urban areas using enhanced precision farming by incorporating loT and Cyber Physical System.,300000,2020,
GRANT_00151,Study of fatigue crack growth of Al 6061 - T6 welds obtained by gas metal arc welding technique,2706350,2020,
GRANT_00152,STTP-AICTE-AQIS-Intelligent Edge Computing Technique For Diverse Applications(Grant),285000,2020,
GRANT_00153,Augmenting Kannada Educational Video with Indian Sign Language animes for assisting hearing impaired students,389000,2020,
GRANT_00154,Experimental lnvestigation of low Velocity lmpact and Damage Studies of Hybrid Composite Inter / Intra layered with Glass Carbon Kevlar fibers for aerospace application.,2132235,2020,
GRANT_00155,Selenium WebDriver using Python,391388,2020,
GRANT_00156,IEEE-CIS Local industry interactions,115064,2020,
GRANT_00157,IEEE-CIS High school outreach program,146498,2020,
GRANT_00158,Selenium WebDriver using Python,198333,2020,
GRANT_00159,Drowsiness detection for Automotive Drivers,4000,2020,
GRANT_00160,Action Bot,125000,2020,
GRANT_00161,"KSCST student project titled "" Design and development of polymer nano composite for photonic applications""",6000,2020,
GRANT_00162,Determining the Structural Efficiency of Cost Effective Composite Retrofits Applied onto Distressed RC Beams to Enhance Their Load Carrying Capacities,6000,2020,
GRANT_00163,Feasibility study for implementation of water recycling equipment at individual houses with specific reference to Kolar and Chikkaballapur districts,5000,2020,
GRANT_00164,A feasibility study on Smart Card ticketing services in public transport with reference to Bengarulu City,1500000,2020,
GRANT_00165,Supply Chain for Collection and Distribution of used cooking oil (UCO) to Bio Diesel production units in Bengarulu City,5000,2020,
GRANT_00166,Innovative Application of Optical Sensing for Heavy Metal Detection in Water,5000,2020,
GRANT_00167,Vahini,468000,2020,
GRANT_00168,Atal FDP on SCILAB and XCOS - FOSS alternatives for MATLAB and SIMULINK,93000,2020,
GRANT_00169,Electronic synapses based on two dimensional materials for neuromorphic computing,4780600,2020,
GRANT_00170,Design & development of ultrasonic assisted vacuum drying system for food,3436503,2020,
GRANT_00171,Soluble lead redox flow battery: Cycleablity and impact of forced and concentration gradient driven natural convection,6653880,2020,
GRANT_00172,Carbon based nano composite mixed matrix membranes for desalination,2410000,2020,
GRANT_00173,Hybrid energy storage system consisting of li-ion batteries & ultracapcitors,3105500,2020,
GRANT_00174,Quantum transport equation based next generation compact models,1300000,2020,
GRANT_00175,Applications of cold plasma activated water for hygiene purposes through experiments and Mathematical modeling,3633120,2020,
GRANT_00176,"Flow of granular materials through a vertical channel: Comparison between experiments, DEM simulations and predictions of continuum models",2502050,2020,
GRANT_00177,Soft-wall turbulence,2969568,2020,
GRANT_00178,Microdroplet analysis and quantification of biomolecules,5906800,2020,
GRANT_00179,Vortex ring and bubble interaction: Towards understanding drag reduction in turbulent boundary layers using air bubble injection,3559600,2020,
GRANT_00180,Modeling and simulation of large strain mesoscale plastic flow for deformation processing of structural components,2377250,2020,
GRANT_00181,Microfluidic platforms for investigating flow induced structure formation in particle laden polymeric flows,5985128,2020,
GRANT_00182,The mechanics of severe plastic deformation in porous soft rocks,3979800,2020,
GRANT_00183,Enhancement of thermal performance during quenching using surface modification,5287297,2020,
GRANT_00184,Deep learning methods for improving low-dose computed tomography perfusion imaging,3578696,2020,
GRANT_00185,Microarchitectural techniques to design a secure processor,2878914,2020,
GRANT_00186,Topological data analysis: Tools for multivariate,2664640,2020,
GRANT_00187,High entropy alloy nanoparticles and coatings,2310000,2020,
GRANT_00188,Microfluidic approach to study mechanical and fluid dynamic changes caused by biochemical stimuli leading to endothelial dysfunction,3549700,2020,
GRANT_00189,Development and hardware implementation of a neuromorphic audio-visual saliency model and deep learning architecture for automated surveillance systems,3339600,2020,
GRANT_00190,Fundamental Algorithms based on convex programming and spectral methods,1988380,2020,
GRANT_00191,Manipulation of wall turbulence by external forcing for investigating mechanisms causing surface friction drag on transport vehicles,4707320,2020,
GRANT_00192,Simulation of ship wake for application in Sonar Signal modeling,4758000,2020,
GRANT_00193,Searching for new strengthening nano dispersions & nano precipitates to develop an advanced light weight aluminium alloys for high temperature applications,3654000,2020,
GRANT_00194,Study of Corona ignition system in lean combustion engines,3320000,2020,
GRANT_00195,Optimization of heat & mass exchanger used in the indirect evaporative cooling system working on Maisotsenko cycle,2474000,2020,
GRANT_00196,An integrated approach to development & environment in the power sector,15075600,2020,
GRANT_00197,Development of compact C-band dual shaped graded index lens - array antenna,1389000,2020,
GRANT_00198,Development of prosumer driven integrated Smart grid,3332000,2020,
GRANT_00199,National Centre for Clean Coal Research & Development,239407000,2020,
GRANT_00200,Development of geoploymer composites for enahnaced mechanical properties & to subside air pollution by the addition of nano particles with emphasis on achieving content uniformity,6726800,2020,
GRANT_00201,Detection of plant pathogenic fungi sing handheld PCR,3997190,2020,
GRANT_00202,Scaling up the fabrication of nanomaterials with higher degree of complexity,4799000,2020,
GRANT_00203,Analysis of performance of inclined plate anchors embedded in geosynthetics reinforced soils for transmission tower foundations,3196000,2020,
GRANT_00204,National Conference on AI based machine Learning as a Services for Industries,166667,2020,
GRANT_00205,Power Utlities and Artificial Intelligence,297000,2020,
GRANT_00206,Infrastructure for Development for Neurological Disorder using Brain Signal Computing,1500000,2021,
GRANT_00207,Artificial intelligence FDP,93000,2021,
GRANT_00208,Machine Learning and Deep Learning with Python - FDP,200000,2021,
GRANT_00209,SQL to Lucene Query Parser,72000,2021,
GRANT_00210,IEEE-STEM Ambassodar- Ideathon for School students,16000,2021,
GRANT_00211,Development of AI based embedded system for prediction of preterm child birth during pregnancies,2300000,2021,
GRANT_00212,Development of prototype for detecting snakes in farm land using Edge computing algorithms,300000,2021,
GRANT_00213,IEEE- Computer Society Inaguration of activities fund,12000,2021,
GRANT_00214,A Secure Lightweight distributed framework for auditing shared data of Smart applications using Fully Homomorphic Encryption in Cloud Storage,200000,2021,
GRANT_00215,Violence Detection in Drone Surveillance Videos,605000,2021,
GRANT_00216,Customized Reconfigurable platform for Image/Video Compression based on Deep Learning Algorithm for Hyperspectral image,2934880,2021,
GRANT_00217,Development of a Prototype for Detection of Snakes in Farmland using Edge Computing Algorithms,300000,2021,
GRANT_00218,Lightweight Container-based Framework in Cloud Environment for Automated Online Assessment for Computer Science Courses,300000,2021,
GRANT_00219,Sign Language Translator for vocally challenged using Sensor based hand gesture Recognition(HGR),180000,2021,
GRANT_00220,FDP on âResearch Challenges in Atmospheric Sciences with a Computing Edgeâ.,93000,2021,
GRANT_00221,GOC- ICRITCSA 2022,400000,2021,
GRANT_00222,Performance Evaluation of Retrofitted RC Beams that have undergone distress adopting low carbon emission RC Jackets.,6000,2021,
GRANT_00223,Design and Development of 3 Axis 3D printing of sustainable concrete structures and characterization of affordable housing solutions,7000,2021,
GRANT_00224,Enabling Functional Mobility through Advanced Gait Analysis and Virtual Reality,2140000,2021,
GRANT_00225,Experimental investigation and numerical validation of CFS builtup beams for residential structures,6000,2021,
GRANT_00226,Braille Dot In- Cost effective braille dotted display for the deaf blind in India,450000,2021,
GRANT_00227,"Sustainable and strengthening of low cost housing for Rural India""",49000,2021,
GRANT_00228,"Studies on production of sustainable Green, Cement Less concrete By Utilizing Slag from Iron and Aluminium Industry",70000,2021,
GRANT_00229,SAARCI Company consultancy Project,150000,2021,
GRANT_00230,Image Processing and IoT Based Bee Hive Monitoring,300000,2021,
GRANT_00231,consultancy work,5000,2021,
GRANT_00232,consultancy work,30000,2021,
GRANT_00233,Consultancy and knowledge sharing for development and manufacturing of educational trainer kits,10000,2021,
GRANT_00234,Mobile STP,150000,2021,
GRANT_00235,IoT-based air pollution control system,5000,2021,
GRANT_00236,Implementation of child rescue from borewell using Zigbee for long range applications,5000,2021,
GRANT_00237,IOT Based Water Management System through a Website,5000,2021,
GRANT_00238,Smart Pulmonary Function Analyzer,5000,2021,
GRANT_00239,River management using ML/AI for the prediction and management of Floods.,5000,2021,
GRANT_00240,Student Engagement Prediction in an E-Learning Platform,5000,2021,
GRANT_00241,Speech to sign language conversion for the hearing and speech impaired,5000,2021,
GRANT_00242,Self Diagnosis of Mental Illness,5000,2021,
GRANT_00243,Control and Stability Analysis of Renewable Energy based DC Nano Grids for Rural Electrification,2632278,2021,
GRANT_00244,Solar Ironing Cart,105000,2021,
GRANT_00245,Role of Power Electronics in Electric Vehicles: New Trends & Challenges,300000,2021,
GRANT_00246,Internet of Things - A Roadmap to Research and Product Development,300000,2021,
GRANT_00247,Kannada Hand written recognition using Deep learning methods,3500,2021,
GRANT_00248,Unnat Bharat Abhiyan-Viilage Project,68965,2021,
GRANT_00249,Design and Development of solar Air purifier,7000,2021,
GRANT_00250,LAPKIT - Design of a low-cost Raspberry PI based Laptop and Electronics Kit for rural students,297000,2022,
GRANT_00251,Investigation of Indian Calendar Systems,188200,2022,
GRANT_00252,Investigation on Antenna design using high performance materials for next generation wireless networks,1383000,2022,
GRANT_00253,"M/s Liveon Techn : Project "" RF OQC (Outgoing Quality Control) RF Talent and System integration",1050000,2022,
GRANT_00254,"195026D02: Sensing and Related Technologies for the Grand challenges of the 21st Century climate, Energy, Water, Food, and Mega-cities",480000,2022,
GRANT_00255,Smart watering system with the internet of things - TIH IOT CHANAKYA UG/PG,480000,2022,
GRANT_00256,IoT based Lightweight Deep Learning Model for Early Plant Decay Detection for CHANAKYA Fellowship Program 2022-23,480000,2022,
GRANT_00257,Numerical investigation of stability of rheological fluids through vertical porous channels in the presence of external fields with variable viscosity,300000,2022,
GRANT_00258,"Development of Tellurium-Free, low-cost binary metal chalcogenides for thermoelectric applications",275000,2022,
GRANT_00259,Estimation of Post-partum blood loss using optical fiber sensor and its correlation to shock index,1838000,2022,
GRANT_00260,Sewage Treatment Plant Setup for Rural Sector of India,98000,2022,
GRANT_00261,Internet of Things â A Roadmap to Research and Product Development,300000,2022,
GRANT_00262,Role of Power Electronics in Electric Vehicles: New Trends & Challenges,300000,2022,
GRANT_00263,Authenticated e-Waste Management Using Renewable Resources,,2022,
GRANT_00264,Automated Hydrophonics Farming-A versatile system to study nutrient allocation and plant responses to nutrient availability in a controlled environment agriculture,600000,2022,
GRANT_00265,Development of thin film biosensor based on modified Copper-Zeolite A (CuZEA) glassy carbon electrode for electrochemical detection of dopamine from E-waste,,2022,
GRANT_00266,Vision Based Clog Remover in Narrow Sewer Pipelines,,2022,
GRANT_00267,DESIGN AND IMPLEMENTATION OF CHICKEN EGG INCUBATOR FOR HATCHING USING IOT,,2022,
GRANT_00268,Jal Urja Mitra Skill Development Program - Operation & Maintenance of small hydro power plants,1934250,2022,
GRANT_00269,IoT based Solar ironing cart,7000,2022,
GRANT_00270,Solar based Motorized fruit and Vegetable Harvesting Device,185000,2022,
GRANT_00271,Solar based mini-Air Cooler cum Mosquito trap,219000,2022,
GRANT_00272,Connected Autonomous Vehicle-WIRIN (WIPRO IISc Research and Innovation Network Consortium),5000000,2022,
GRANT_00273,“DST-IIT Kanpur integrated Clean Energy Material Acceleration Platform on Materials”,3035029,2022,
GRANT_00274,STUDENT PROJECT PROGRAMME-45TH SERIES/ “Design and Experimentation of a Low-Cost Exertion Gauntlet for Lymphedema”,8000,2022,
GRANT_00275,MOU: Hewlett Packard Enterprise: Catch then Young Projects,110000,2023,
GRANT_00276,Artificial Intelligence in Computer Networks,350000,2023,
GRANT_00277,IOT AND CYBER SECURITY,350000,2023,
GRANT_00278,"Design and Development of Ground Penetrating Radar with On-Field Reconfiguration Capability applicable to Institute of Technology, Bengaluru",6665000,2023,
GRANT_00279,Create Management Under the MOU,20000,2023,
GRANT_00280,FIST Program-2023 (TPN-89936) FILE NO.SR/FST/COLLEGE/2023/1474 -30/10/2023,9500000,2023,
GRANT_00281,Exploration of transition metal doped GE2SB2TE5 Materials towards neuromorphic computing application,1263600,2023,
GRANT_00282,Application Number: 1691566506,350000,2023,
GRANT_00283,Arkesh Technology Private Limited,120000,2023,
GRANT_00284,Deep Neural Network path to multiphysics modeling of heat transfer in porous media,3672000,2023,
GRANT_00285,"""Research and Development in areas of minimally invasive and contactless patient monitoring, screening and triaging.""",6000000,2023,
GRANT_00286,Development of a Polymer Nanocomposite based rapid malaria sensing device,2849000,2023,
GRANT_00287,"A Non-intrusive monitoring smart bed to generate peronalized health profiles using Artificial Intelligence""",5477900,2023,
GRANT_00288,IMPLEMENTATION OF INCUBATION COMPONENT OF MSME INNOVATIVE SCHEME,892500,2023,
GRANT_00289,AI Based Virtual Presence Robo,6000,2023,
GRANT_00290,MINDMATE: A PSYCHOLOGY CHATBOT,,2023,
GRANT_00291,An assistive tool for the visually impaired in getting access to information in the news realm,,2023,
GRANT_00292,âEmpowering Tomorrowâs Mobility : AI Driven Innovation for Electric Vehicles,350000,2023,
