topic_id,total_docs,recent_docs,growth_percent,trend_score,Topic,Count,Name,Representation,Representative_Docs,trend_category
17,166,47,13.043478260869565,66.7564410315229,17,126,17_nanofluid_stretching_flow_heat,"['nanofluid', 'stretching', 'flow', 'heat', 'convective', 'mhd', 'nanofluids', 'transfer', 'porous', 'gyrotactic']","['unsteady thin film flow heat transfer fe nanofluid inclined stretching sheet porous medium', 'nanofluid boundary layer flow stretching body presence porous medium', 'shape effect nanoparticle mhd nanofluid flow stretching sheet presence heat source sink entropy generation']",Stable
99,53,24,16.666666666666664,66.4830674427379,99,53,99_accelerator_fpga_accelerators_edge,"['accelerator', 'fpga', 'accelerators', 'edge', 'dnn', 'hardware', 'inference', 'neural', 'convolutional', 'architecture']","['fpga base hardware accelerator training implicit neural representations edge device', 'flexible fpga accelerator convolutional neural network', 'hardware accelerator edge detection']",Stable
109,50,24,16.666666666666664,65.53042721207208,109,50,109_captioning_story_caption_scene,"['captioning', 'story', 'caption', 'scene', 'dysgraphia', 'image', 'narrative', 'generation', 'text', 'damian']","['image captioning convolutional neural networks recurrent neural network', 'text base image retrieval captioning', 'analysis image captioning model different image feature extraction network']",Stable
52,60,13,14.285714285714285,58.72676948819016,52,76,52_international_journal_engineering_computer,"['international', 'journal', 'engineering', 'computer', 'issn', 'research', '2320', 'science', 'issue', 'electronics']","['international journal engineering research technology ijert issn 2278 0181 ijertv12is060029 work license creative commons attribution 4.0 international license publish vol 12 issue 06 june-2023 authors preetham prithvi', 'international journal engineering research technology ijert issn 2278 0181 ijertv8is060700 work license creative commons attribution 4.0 international license publish vol issue 06 june-2019 authors nalini sush', 'international journal advanced research computer communication engineering vol issue march 2019']",Stable
16,179,66,6.0606060606060606,31.472465762970973,16,128,16_thermoelectric_cu_te_bi2te3,"['thermoelectric', 'cu', 'te', 'bi2te3', 'tetrahedrite', 'ultralow', 'thermal', 'conductivity', 'sb', 'materials']","['investigation thermoelectric property lafe0.1co0.9o3 compound', 'mechanical thermoelectric properties eutectic composite bi sb)2te3 te thermoelectric material', 'recent advance design thermoelectric material']",Stable
55,72,27,7.142857142857142,30.646138865345648,55,74,55_brain_tumor_mri_segmentation,"['brain', 'tumor', 'mri', 'segmentation', 'tumour', 'ct', 'image', 'medical', 'net', 'intervertebral']","['deep learning based brain tumor detection mri images transfer learning', 'survey brain tumor detection mri image deep learning techniques', 'deep learning based brain tumor detection mri image transfer learning']",Stable
15,184,53,3.7037037037037033,19.334651203993793,15,129,15_graphene_bilayer_twisted_heterostructure,"['graphene', 'bilayer', 'twisted', 'heterostructure', 'magic', 'hbn', 'mos2', 'heterostructures', 'angle', 'noise']","['phonon linewidth twisted bilayer graphene near magic angle', 'low frequency resistance noise near magic angle twisted bilayer graphene', 'anomaly raman mode twisted bilayer graphene near magic angle']",Stable
73,64,18,0.0,0.0,73,65,73_guidance_landing_quadrotor_sight,"['guidance', 'landing', 'quadrotor', 'sight', 'law', 'mpsp', 'target', 'angle', 'constrained', 'bifurcation']","['multi phase mpsp guidance lunar soft landing', 'bézier curve base guidance autonomous landing quadrotor', 'approach landing guidance constrained model predictive static programming']",Stable
53,70,24,0.0,0.0,53,75,53_biometric_fingerprint_iris_authentication,"['biometric', 'fingerprint', 'iris', 'authentication', 'multimodal', 'scopus', 'q3', 'sci', 'cancelable', 'biometrics']","['artificial neural network approach multimodal biometric authentication system', 'multimodal biometric identification system fusion fingerprint iris recognition cnn approach international journal engineering applied sciences technology', 'analysis fingerprint biometric authentication cnn']",Stable
24,150,52,0.0,0.0,24,114,24_05_ferroelectric_ceramic_piezoelectric,"['05', 'ferroelectric', 'ceramic', 'piezoelectric', 'morphotropic', 'piezoceramic', 'na05bi05tio3', 'lead', 'na', 'bi']","['nature morphotropic phase boundary lead free piezoelectric system bi nb ti mg zn', 'random lattice strain relaxation morphotropic phase boundary 0.5 0.5 ti -base piezoelectric impact structural ferroelectric property', 'structural insight electric field induce polarization strain response 0.5 na 0.5 nb modify morphotropic phase boundary composition na 0.5 bi 0.5 ti -base lead free piezoelectric']",Stable
79,62,20,0.0,0.0,79,62,79_magnesium_texture_al_alloy,"['magnesium', 'texture', 'al', 'alloy', 'mg', 'microstructure', 'rolling', 'zr', 'sc', 'aa2195']","['influence cold rolling thermal treatment microstructure texture evolution tensile behaviour high strength al co sc zr alloy', 'influence cold rolling thermal treatment microstructure texture evolution tensile behaviour high strength al co sc zr alloy', 'texture transition al mg alloy effect magnesium']",Stable
43,87,22,0.0,0.0,43,87,43_shielding_emi_electromagnetic_interference,"['shielding', 'emi', 'electromagnetic', 'interference', 'shield', 'polymer', 'nanocomposite', 'nanocomposites', 'ferrite', 'pani']","['lightweight epoxy base composites emi shielding applications', 'pani molybdate nanocomposite structural morphological dielectric property effective electromagnetic interference emi shielding application band', 'ag polyaniline al₂o₃ ternary nanocomposite enhanced electrical conductivity emi shielding performance']",Stable
12,202,50,0.0,0.0,12,135,12_galaxy_galactic_star_ngc,"['galaxy', 'galactic', 'star', 'ngc', 'disk', 'uvit', 'radio', 'astrosat', 'glostar', 'disc']","['global view star formation glostar galactic plane survey iv radio continuum detection young stellar object galactic centre region', 'global view star formation glostar galactic plane survey', 'global view star formation glostar galactic plane survey']",Stable
91,56,20,0.0,0.0,91,56,91_iot_internet_thing_secure,"['iot', 'internet', 'thing', 'secure', 'mqtt', 'security', 'lightweight', 'cryptographic', 'authentication', 'datum']","['evolve embedded method light weight cryptography algorithm solve issue embedded iot devices srideivanai nagarajan sujata badiger shubha rao bama supriya shital kakad nisha rani pyingkodi authors srideivanai nagarajan sujata badiger shubha rao', 'optimize lightweight cryptographic protocol secure communication internet things(iot device', 'internet thing iot security privacy issue solutions']",Stable
47,82,24,0.0,0.0,47,83,47_handwritten_kannada_character_characters,"['handwritten', 'kannada', 'character', 'characters', 'recognition', 'ocr', 'word', 'handwriting', 'text', 'dataset']","['recognition handwritten kannada characters unsupervised learning method', 'improved kannada handwritten character recognition efficient segmentation techniques', 'kannada handwritten character recognition techniques review']",Stable
100,52,18,0.0,0.0,100,52,100_kitaev_topological_chain_spin,"['kitaev', 'topological', 'chain', 'spin', 'ladder', 'skewed', 'scramble', 'disorder', 'rnyi', 'lattice']","['effect topological non topological edge state information propagation scramble floquet spin chain', 'topological quantum phase transition criticality long range kitaev chain', 'quantum phase spin-1 system 3/4 3/5 skewed ladder']",Stable
104,51,14,0.0,0.0,104,51,104_photoacoustic_imaging_ultrasound_optoacoustic,"['photoacoustic', 'imaging', 'ultrasound', 'optoacoustic', 'tomography', 'pmut', 'impulse', 'transducer', 'resolution', 'reconstruction']","['spatial impulse response ultrasound transducer correction deep learning photoacoustic tomography', 'photoacoustic imaging single element low frequency thin film pmut', 'image quality enhancement pmut base photoacoustic imaging']",Stable
6,283,83,-2.3255813953488373,-13.137149391072574,6,157,6_photonic_silicon_waveguide_resonator,"['photonic', 'silicon', 'waveguide', 'resonator', 'ring', 'nitride', 'grating', 'coupler', 'biosensor', 'crystal']","['square ring resonator base photonic crystal pressure sensing', 'silicon embed high efficiency grating coupler 125 nm thin silicon nitride waveguide', 'visible wavelength photonic integrated circuit silicon nitride platform chip sensing applications']",Declining
40,101,45,-4.166666666666666,-19.270720055351124,40,90,40_hydrogel_tissue_bioprinting_3d,"['hydrogel', 'tissue', 'bioprinting', '3d', 'scaffold', 'bone', 'gelatin', '4d', 'bioprinte', 'osteogenesis']","['digital light processing base 3d bioprinting carrageenan hydrogel engineer cell load tissue scaffold', 'low concentration gelatin methacryloyl hydrogel tuneable printability cytocompatibility bone cartilage tissue bioprinting quantitative process science buildability biophysical properties', 'light base 3d bioprinting bone tissue scaffold tunable mechanical property architecture photocurable silk fibroin']",Declining
26,138,43,-4.3478260869565215,-21.45423449187257,26,112,26_verification_risc_verilog_processor,"['verification', 'risc', 'verilog', 'processor', 'uvm', 'soc', 'fpga', 'bit', 'hardware', 'axi']","['system verification analysis alu risc processor', 'system verification analysis alu risc processor', 'design verification 32 bit pipelined risc architecture verilog modelling uvm test bench methodology']",Declining
51,76,29,-6.25,-27.148783886585527,51,77,51_generative_adversarial_gan_sketch,"['generative', 'adversarial', 'gan', 'sketch', 'style', 'face', 'image', 'guided', 'latent', 'enriching']","['transformer guided generative adversarial network tg gan style transfer artistic natural scene images', 'face image super resolution generative adversarial network', 'image generation generative adversarial network']",Declining
83,52,23,-7.6923076923076925,-30.540707027324014,83,59,83_eeg_depression_brain_signal,"['eeg', 'depression', 'brain', 'signal', 'migraine', 'mental', 'stress', 'q4', 'epilepsy', 'canonical']","['survey eeg base attention detection machine learning deep learning techniques', 'real time stress level detection system eeg signal processing deep learning techniques', 'survey eeg base stress detection machine learning deep learning technique']",Declining
11,204,60,-6.25,-33.268812369615056,11,137,11_nanoparticle_chitosan_gold_antioxidant,"['nanoparticle', 'chitosan', 'gold', 'antioxidant', 'nanoparticles', 'delivery', 'silver', 'nanozyme', 'activity', 'antibacterial']","['natural tripeptide cap ph sensitive gold nanoparticle efficacious doxorubicin delivery vitro vivo', 'synthesis characterization high molecular weight chitosan antioxidant activity chitosan oligosaccharide encapsulation', 'mesoporous silica nanoparticle cap chitosan glucuronic acid conjugate ph responsive target delivery fluorouracil']",Declining
7,265,91,-6.25,-34.89685192988562,7,154,7_antenna_patch_microstrip_band,"['antenna', 'patch', 'microstrip', 'band', 'slot', 'dual', 'circularly', 'loaded', 'multiband', 'polarize']","['design development novel patch antenna array application', 'performance enhancement microstrip patch antenna slot communication', 'multi frequency microstrip patch antenna review design application']",Declining
93,55,17,-10.0,-40.2535169073515,93,55,93_linewidth_laser_fiber_raman,"['linewidth', 'laser', 'fiber', 'raman', 'comb', 'lasers', 'spectral', 'widely', 'cascaded', 'narrow']","['frequency comb base seed laser architecture improved brillouin performance spectral beam combining narrow linewidth lasers', 'cascaded raman fiber lasers pump narrow linewidth low intensity noise source', 'cascaded raman fiber laser pump narrow linewidth low intensity noise source']",Declining
98,53,13,-12.5,-49.86230058205343,98,53,98_flame_combustor_premixed_swirl,"['flame', 'combustor', 'premixed', 'swirl', 'syngas', 'reverse', 'combustion', 'stabilize', 'vortex', 'counter']","['impact hydrogen addition thermoacoustic instability precessing vortex core dynamics ch4 h2 air technically premixed combustor', 'non premixed operation strategy low emission syngas fuel reverse flow combustor', 'understand heat release fluctuation combustion noise characteristic non premixed co counter swirl syngas flame mild condition']",Declining
21,149,51,-10.714285714285714,-53.68537815103131,21,117,21_traffic_accident_road_emergency,"['traffic', 'accident', 'road', 'emergency', 'driver', 'vehicle', 'crash', 'notification', 'safety', 'pedestrian']","['traffic light control system emergency vehicle', 'traffic system monitoring', 'road traffic accident prediction india machine learn algorithm technique']",Declining
34,114,30,-11.76470588235294,-55.82273092192059,34,101,34_iot_narrowband_home_monitoring,"['iot', 'narrowband', 'home', 'monitoring', 'smart', 'automation', 'industrial', 'principle', 'lora', 'thing']","['narrowband iot base support function smart city', 'narrowband iot principle potential application', 'narrowband iot internet']",Declining
31,118,43,-12.5,-59.73904366389412,31,102,31_concrete_slag_aggregate_geopolymer,"['concrete', 'slag', 'aggregate', 'geopolymer', 'ash', 'durability', 'mortar', 'replacement', 'cement', 'fine']","['experimental study fracture properties fly ash slag based geopolymer concrete', 'impact fine aggregate properties geopolymer concrete', 'influence steel slag strength microstructural characteristic fly ash base geopolymer concrete']",Declining
50,79,24,-14.285714285714285,-62.600380495341156,50,79,50_hall_insulator_topological_weyl,"['hall', 'insulator', 'topological', 'weyl', 'semimetal', 'semimetallic', '111', 'anomalous', 'dirac', 'te']","['strain modify spin configuration drive spontaneous topological like hall effect weyl semimetallic dy ir 111 epitaxial thin film', 'non linear hall effect multi weyl semimetal', 'spin chirality induce large topological hall effect magnetic weyl semimetallic eu ir 111 thin film']",Declining
19,158,50,-14.285714285714285,-72.41291717457473,19,119,19_photocatalytic_degradation_dye_zno,"['photocatalytic', 'degradation', 'dye', 'zno', 'nanoparticle', 'green', 'methylene', 'activity', 'synthesis', 'sunlight']","['photocatalytic degradation methylene blue dye biogenic copper oxide nanoparticle degradation pathway analysis', 'effect synthesis method photocatalytic activity zno nanoparticle', 'nickel dope zinc oxide improved photocatalytic activity malachite green dye degradation parameter affect degradation']",Declining
25,138,48,-14.814814814814813,-73.10331752786209,25,112,25_cancer_breast_lung_diagnosis,"['cancer', 'breast', 'lung', 'diagnosis', 'carcinoma', 'leukemia', 'segmentation', 'histopathological', 'blood', 'oral']","['predictive classification breast cancer machine learning', 'comparative analysis breast cancer prediction machine learning techniques', 'framework breast cancer prediction classification deep learning']",Declining
87,58,18,-18.181818181818183,-74.13704443464945,87,58,87_krylov_quantum_walk_complexity,"['krylov', 'quantum', 'walk', 'complexity', 'entanglement', 'syk', 'fragmentation', 'markovianity', 'markovian', 'dissipative']","['complexity dimensional discrete time quantum walk circuit', 'speed limit growth krylov complexity open quantum system', 'information scramble quantum walk discrete time formulation krylov complexity']",Declining
30,120,31,-16.666666666666664,-79.92984242661234,30,102,30_pile_anchor_capacity_geocell,"['pile', 'anchor', 'capacity', 'geocell', 'geogrid', 'foundation', 'foundations', 'rock', 'bearing', 'sand']","['experimental numerical study square anchor plate group geogrid reinforce sand', 'response anchor foundation geogrid reinforce sand combine load', 'uplift capacity horizontal anchor plate geocell reinforce sand']",Declining
33,116,40,-17.391304347826086,-82.82041625735228,33,101,33_mimo_massive_ofdm_channel,"['mimo', 'massive', 'ofdm', 'channel', 'estimation', 'uplink', 'systems', 'vlc', 'mmwave', 'adcs']","['massive mimo ofdm systems low resolution adcs cramér rao bound sparse channel estimation soft symbol decoding', 'sparse bayesian learning base channel estimation irs aid millimeter wave massive mimo systems', 'quantized variational bayesian joint channel estimation data detection uplink massive mimo systems low resolution adcs']",Declining
71,63,23,-21.428571428571427,-89.1189232148501,71,68,71_inverter_multilevel_level_range,"['inverter', 'multilevel', 'level', 'range', 'seven', 'modulation', 'clamped', 'elimination', 'capacitor', 'extended']","['compact common ground level switched capacitor multilevel inverter grid integration', 'level inverter level inverter capacitor fed level inverter feed im drive side extended linear modulation range till base speed', 'single dc source multilevel inverter extended linear modulation range base speed predictive capacitor control induction machine drive']",Declining
32,113,34,-20.0,-94.72396896788992,32,102,32_wireless_routing_cluster_sensor,"['wireless', 'routing', 'cluster', 'sensor', 'wsn', 'rout', 'clustering', 'lifetime', 'head', 'protocol']","['energy efficient cluster rout wireless sensor network', 'study wireless sensor network', 'energy security aware hybrid optimal cluster base routing wireless sensor network']",Declining
44,87,21,-23.076923076923077,-103.3231572571894,44,87,44_film_solar_cell_thin,"['film', 'solar', 'cell', 'thin', 'pyrolysis', 'spray', 'absorber', 'cu2sns3', 'cts', 'heterojunction']","['temperature dependent growth cu2sns3 thin film ultrasonic spray pyrolysis solar cell absorber layer photocatalytic application materials research express 2019 10 14', 'temperature dependent growth cu sns thin film ultrasonic spray pyrolysis solar cell absorber layer photocatalytic application', 'optimization fabrication low cost cu2sns3 zn thin film heterojunction solar cell ultrasonic spray pyrolysis']",Declining
