Topic,Count,Name,Representation,Representative_Docs,source
30,102,30_pile_anchor_capacity_geocell,"['pile', 'anchor', 'capacity', 'geocell', 'geogrid', 'foundation', 'foundations', 'rock', 'bearing', 'sand']","['experimental numerical study square anchor plate group geogrid reinforce sand', 'response anchor foundation geogrid reinforce sand combine load', 'uplift capacity horizontal anchor plate geocell reinforce sand']",publication
31,102,31_concrete_slag_aggregate_geopolymer,"['concrete', 'slag', 'aggregate', 'geopolymer', 'ash', 'durability', 'mortar', 'replacement', 'cement', 'fine']","['experimental study fracture properties fly ash slag based geopolymer concrete', 'impact fine aggregate properties geopolymer concrete', 'influence steel slag strength microstructural characteristic fly ash base geopolymer concrete']",publication
32,102,32_wireless_routing_cluster_sensor,"['wireless', 'routing', 'cluster', 'sensor', 'wsn', 'rout', 'clustering', 'lifetime', 'head', 'protocol']","['energy efficient cluster rout wireless sensor network', 'study wireless sensor network', 'energy security aware hybrid optimal cluster base routing wireless sensor network']",publication
33,101,33_mimo_massive_ofdm_channel,"['mimo', 'massive', 'ofdm', 'channel', 'estimation', 'uplink', 'systems', 'vlc', 'mmwave', 'adcs']","['massive mimo ofdm systems low resolution adcs cramér rao bound sparse channel estimation soft symbol decoding', 'sparse bayesian learning base channel estimation irs aid millimeter wave massive mimo systems', 'quantized variational bayesian joint channel estimation data detection uplink massive mimo systems low resolution adcs']",publication
34,101,34_iot_narrowband_home_monitoring,"['iot', 'narrowband', 'home', 'monitoring', 'smart', 'automation', 'industrial', 'principle', 'lora', 'thing']","['narrowband iot base support function smart city', 'narrowband iot principle potential application', 'narrowband iot internet']",publication
35,93,35_superconductor_superconductivity_superconducte_skyrmion,"['superconductor', 'superconductivity', 'superconducte', 'skyrmion', 'majorana', 'supercoole', 'superfluid', 'lattice', 'honeycomb', 'vortex']","['emergent wave superconductivity dual topological insulator bise superconducte proximity effect', 'novel emergent phase dimensional superconductor', 'sn0.06cr3te4 skyrmion superconductor']",publication
36,93,36_charging_electric_vehicle_station,"['charging', 'electric', 'vehicle', 'station', 'ev', 'charge', 'charger', 'vehicles', 'battery', 'wireless']","['smart charging station electric vehicles solar power', 'intelligent charging system electric vehicle battery', 'implementation smart electric vehicle charging station driven experimental investigation']",publication
37,92,37_face_facial_mask_attendance,"['face', 'facial', 'mask', 'attendance', 'recognition', 'distancing', 'gender', 'lbph', 'locally', 'social']","['fpga implementation face recognition system', 'real time face mask detection cnn', 'face recognition attendance system']",publication
38,92,38_sentiment_twitter_sarcasm_tweet,"['sentiment', 'twitter', 'sarcasm', 'tweet', 'sentimental', 'social', 'aspect', 'reviews', 'tweets', 'sarcastic']","['survey analysis twitter opinion mining sentiment analysis', 'twitter sentiment analysis machine learning algorithms comparative analysis', 'rule base sentiment analysis twitter(x datum']",publication
39,90,39_bragg_grating_fiber_sensor,"['bragg', 'grating', 'fiber', 'sensor', 'fbg', 'etched', 'optic', 'bessel', 'gauss', 'packaged']","['internet thing enable structural health monitoring fiber bragg grating sensor', 'fiber bragg grating base optical sensor pulse morphology', 'fiber bragg grating temperature sensor human body temperature monitoring']",publication
40,90,40_hydrogel_tissue_bioprinting_3d,"['hydrogel', 'tissue', 'bioprinting', '3d', 'scaffold', 'bone', 'gelatin', '4d', 'bioprinte', 'osteogenesis']","['digital light processing base 3d bioprinting carrageenan hydrogel engineer cell load tissue scaffold', 'low concentration gelatin methacryloyl hydrogel tuneable printability cytocompatibility bone cartilage tissue bioprinting quantitative process science buildability biophysical properties', 'light base 3d bioprinting bone tissue scaffold tunable mechanical property architecture photocurable silk fibroin']",publication
41,89,41_manifold_metric_khler_bergman,"['manifold', 'metric', 'khler', 'bergman', 'holomorphic', 'bundle', 'kobayashi', 'hypersurface', 'manifolds', 'rigidity']","['growth bergman metric near point infinite type', 'kobayashi complete domain complex manifold', 'metric rigidity kähler manifold low ricci bound maximal volume']",publication
42,87,42_quantum_post_cryptography_classical,"['quantum', 'post', 'cryptography', 'classical', 'qiskit', 'cryptographic', 'key', 'secure', 'pqc', 'rebalancing']","['quantum enable discrete distribution sampling post quantum lattice base cryptography', 'optimal parameter prediction secure quantum key distribution quantum machine learning models', 'quantum resilient cryptography survey classical quantum algorithms']",publication
43,87,43_shielding_emi_electromagnetic_interference,"['shielding', 'emi', 'electromagnetic', 'interference', 'shield', 'polymer', 'nanocomposite', 'nanocomposites', 'ferrite', 'pani']","['lightweight epoxy base composites emi shielding applications', 'pani molybdate nanocomposite structural morphological dielectric property effective electromagnetic interference emi shielding application band', 'ag polyaniline al₂o₃ ternary nanocomposite enhanced electrical conductivity emi shielding performance']",publication
44,87,44_film_solar_cell_thin,"['film', 'solar', 'cell', 'thin', 'pyrolysis', 'spray', 'absorber', 'cu2sns3', 'cts', 'heterojunction']","['temperature dependent growth cu2sns3 thin film ultrasonic spray pyrolysis solar cell absorber layer photocatalytic application materials research express 2019 10 14', 'temperature dependent growth cu sns thin film ultrasonic spray pyrolysis solar cell absorber layer photocatalytic application', 'optimization fabrication low cost cu2sns3 zn thin film heterojunction solar cell ultrasonic spray pyrolysis']",publication
45,87,45_gas_ammonia_chemiresistive_sensing,"['gas', 'ammonia', 'chemiresistive', 'sensing', 'zno', 'room', 'sensor', 'thin', 'film', 'ethanol']","['cvd grow cuprous oxide thin film base high performance chemiresistive ammonia gas sensor', 'tungsten disulphide nanosheet high performance chemiresistive ammonia gas sensor', 'tio2 thin film optimization ammonia gas sensing']",publication
46,84,46_spectrum_cognitive_radio_sensing,"['spectrum', 'cognitive', 'radio', 'sensing', 'sense', 'cooperative', 'radios', 'noise', 'archana', 'generalized']","['asymptotic analysis generalized energy base spectrum sensing cognitive radio', 'performance analysis ml techniques spectrum sensing cognitive radio', 'approach advanced spectrum sensing cognitive radio networks']",publication
47,83,47_handwritten_kannada_character_characters,"['handwritten', 'kannada', 'character', 'characters', 'recognition', 'ocr', 'word', 'handwriting', 'text', 'dataset']","['recognition handwritten kannada characters unsupervised learning method', 'improved kannada handwritten character recognition efficient segmentation techniques', 'kannada handwritten character recognition techniques review']",publication
48,82,48_photodetector_dot_photodetection_uv,"['photodetector', 'dot', 'photodetection', 'uv', 'quantum', 'visible', 'photodetectors', 'photoresponse', 'colloidal', 'sns']","['fabrication snse nanostructure visible light photodetector', 'ch3nh3pbbr3 quantum dot visible wavelength photodetector application', 'enhanced photodetection performance silver dope tin sulﬁde photodetector visible light photodetection']",publication
49,81,49_electricity_demand_grid_smart,"['electricity', 'demand', 'grid', 'smart', 'grids', 'metering', 'meter', 'renewable', 'management', 'forecasting']","['effectiveness demand response achieve supply demand matching renewable dominate electricity system modelling approach', 'demand management smart electricity grid review', 'hybrid reinforcement learning framework multi objective demand response optimization smart grids']",publication
50,79,50_hall_insulator_topological_weyl,"['hall', 'insulator', 'topological', 'weyl', 'semimetal', 'semimetallic', '111', 'anomalous', 'dirac', 'te']","['strain modify spin configuration drive spontaneous topological like hall effect weyl semimetallic dy ir 111 epitaxial thin film', 'non linear hall effect multi weyl semimetal', 'spin chirality induce large topological hall effect magnetic weyl semimetallic eu ir 111 thin film']",publication
51,77,51_generative_adversarial_gan_sketch,"['generative', 'adversarial', 'gan', 'sketch', 'style', 'face', 'image', 'guided', 'latent', 'enriching']","['transformer guided generative adversarial network tg gan style transfer artistic natural scene images', 'face image super resolution generative adversarial network', 'image generation generative adversarial network']",publication
52,76,52_international_journal_engineering_computer,"['international', 'journal', 'engineering', 'computer', 'issn', 'research', '2320', 'science', 'issue', 'electronics']","['international journal engineering research technology ijert issn 2278 0181 ijertv12is060029 work license creative commons attribution 4.0 international license publish vol 12 issue 06 june-2023 authors preetham prithvi', 'international journal engineering research technology ijert issn 2278 0181 ijertv8is060700 work license creative commons attribution 4.0 international license publish vol issue 06 june-2019 authors nalini sush', 'international journal advanced research computer communication engineering vol issue march 2019']",publication
53,75,53_biometric_fingerprint_iris_authentication,"['biometric', 'fingerprint', 'iris', 'authentication', 'multimodal', 'scopus', 'q3', 'sci', 'cancelable', 'biometrics']","['artificial neural network approach multimodal biometric authentication system', 'multimodal biometric identification system fusion fingerprint iris recognition cnn approach international journal engineering applied sciences technology', 'analysis fingerprint biometric authentication cnn']",publication
54,74,54_steganography_encryption_watermarking_chaotic,"['steganography', 'encryption', 'watermarking', 'chaotic', 'lsb', 'cryptography', 'image', 'images', 'pixel', 'secure']","['image steganography lsb embed edge adaptive approach', 'enhance cloud security cryptography steganography techniques', 'secure medical image encryption lsb steganography']",publication
55,74,55_brain_tumor_mri_segmentation,"['brain', 'tumor', 'mri', 'segmentation', 'tumour', 'ct', 'image', 'medical', 'net', 'intervertebral']","['deep learning based brain tumor detection mri images transfer learning', 'survey brain tumor detection mri image deep learning techniques', 'deep learning based brain tumor detection mri image transfer learning']",publication
56,74,56_perovskite_cells_solar_cell,"['perovskite', 'cells', 'solar', 'cell', 'niox', 'passivation', 'layer', 'tin', 'transport', 'tandem']","['effect ionic liquid 2d-3d lead base perovskite solar cells', 'role electrode perovskite solar cell performance review', 'mixed‐dimensional 2d–3d perovskite solar cells']",publication
57,74,57_phosphor_photoluminescence_luminescence_nanophosphor,"['phosphor', 'photoluminescence', 'luminescence', 'nanophosphor', 'eu3', 'display', 'judd', 'ofelt', 'led', 'white']","['tb3+/eu3 co dope nala(moo4)2 phosphor photoluminescence optical thermometry study solid state lighting sensor application', 'enhanced photoluminescence decay study li co dope laalo3 ce3 phosphor display application', 'effect photoluminescence property li+ ca2 bi3 ion co dope srmoo4 eu3 phosphor judd ofelt analysis solid state lighting application']",publication
58,73,58_friction_stir_weld_welding,"['friction', 'stir', 'weld', 'welding', 'aluminum', 'dissimilar', 'aluminium', 'joint', 'titanium', 'alloy']","['tensile property aluminium copper alloy friction stir weld joint', 'tensile property aluminium copper alloy friction stir weld joint', 'friction stir welding design']",publication
59,73,59_glass_borate_glasses_chalcogenide,"['glass', 'borate', 'glasses', 'chalcogenide', 'vanadate', 'tellurite', 'te', 'ge', 'dope', 'niobo']","['glass formation thermal stability optical property se te rich ge se te glass', 'glass formation thermal stability fragility minimum ge te se glass', 'investigation physical structural luminescence properties nickel oxide doped lithium strontium borate glass']",publication
60,73,60_convective_mhd_heat_transfer,"['convective', 'mhd', 'heat', 'transfer', 'casson', 'fluid', 'convection', 'flow', 'vertical', 'soret']","['soret dufour effect mhd double diffusive mixed convective heat mass transfer couple stress fluid channel form electrically conduct non conduct wall', 'numerical study thermal diffusion diffusion thermo effect mixed convective flow mass transfer presence mhd accelerate surface', 'mhd mixed convective boundary layer flow grade fluid vertical stretching sheet']",publication
61,71,61_rotor_bearing_bearings_brake,"['rotor', 'bearing', 'bearings', 'brake', 'gear', 'vibration', 'xlrotor', 'tires', 'spokes', 'tadpole']","['analysis jeffcott rotor rotor disk xlrotor', 'dynamic analysis multi disc flexible rotor bearing system isotropic stiffness vary geometric parameters', 'dynamic analysis single disc flexible rotor bearing system isotropic stiffness vary geometric parameters']",publication
62,71,62_bridge_converter_active_dc,"['bridge', 'converter', 'active', 'dc', 'isolated', 'ac', 'stage', 'pfc', 'triple', 'zvs']","['dynamic modeling control dual active- bridge dc dc converter triple phase shift modulation', 'optimal design dual active bridge dc dc converter', 'optimal design dual active bridge base single stage dc ac converter']",publication
63,70,63_soil_lime_clay_soils,"['soil', 'lime', 'clay', 'soils', 'moisture', 'marine', 'kaolinitic', 'unsaturated', 'cochin', 'contaminated']","['experimental investigation bio modify soil', 'soil', 'value soil temperature datum versus soil moisture datum state parameter flux estimation unsaturated flow model']",publication
64,70,64_intrusion_cyber_threat_attack,"['intrusion', 'cyber', 'threat', 'attack', 'day', 'honeypot', 'prevention', 'detection', 'q3', 'sql']","['hybrid machine learning based intrusion detection zero day attack prevention digital education networks international information engineering technology association scopus q3', 'hybrid machine learning based intrusion detection zero day attack prevention digital education networks', 'intrusion detection system machine learning']",publication
65,69,65_magnetic_nanorobot_nanomotor_helical,"['magnetic', 'nanorobot', 'nanomotor', 'helical', 'nanobot', 'electromagnet', 'actuation', 'manipulation', 'nanobots', 'actuator']","['independent actuation ferrobot plane grid electromagnet', 'evidence successful manipulation magnetic nanorobot inside hard tumor live animal', 'actuation ferrobot plane independent swarm motion grid electromagnet']",publication
66,69,66_stock_market_price_portfolio,"['stock', 'market', 'price', 'portfolio', 'banking', 'financial', 'fund', 'forecasting', 'series', 'volatility']","['stock price classification base hybrid feature selection method', 'stock price prediction', 'stock market prediction machine learning']",publication
67,68,67_scheduling_cloud_workload_task,"['scheduling', 'cloud', 'workload', 'task', 'resource', 'environment', 'computing', 'vm', 'center', 'virtual']","['ga base efficient resource allocation task scheduling multi cloud environment', 'cost performance aware scheduling technique cloud computing environment', 'resource efficient workload task scheduling cloud assist internet thing environment']",publication
68,68,68_fluorescence_emitter_oled_delay,"['fluorescence', 'emitter', 'oled', 'delay', 'thermally', 'activate', 'emit', 'phosphorescence', 'tadf', 'diode']","['mechanical bond tune performance thermally activate delay fluorescence emitter', 'ultrathin non dope thermally activate delay fluorescence emit layer highly efficient oled', 'multifunctional thermally activate delay fluorescence emitter dope non dope organic light emit diode']",publication
69,68,69_dopamine_electrochemical_glucose_electrode,"['dopamine', 'electrochemical', 'glucose', 'electrode', 'catechol', 'paste', 'modify', 'enzymatic', 'paracetamol', 'laccase']","['electrochemical detection catechol biochar copper oxide nanoparticle layer carbon paste electrode', 'study efficacy modify electrode carbon graphene base quantum dot dopamine detection', 'reliable electrochemical sensor detection catechol hydroquinone mgo modify carbon paste electrode']",publication
70,68,70_health_healthcare_monitoring_iot,"['health', 'healthcare', 'monitoring', 'iot', 'wearable', 'patient', 'remote', 'smart', 'care', 'vital']","['iot base health monitoring system real time patient monitoring', 'portable iot smart device healthcare remote health monitoring', 'smart health monitoring system']",publication
71,68,71_inverter_multilevel_level_range,"['inverter', 'multilevel', 'level', 'range', 'seven', 'modulation', 'clamped', 'elimination', 'capacitor', 'extended']","['compact common ground level switched capacitor multilevel inverter grid integration', 'level inverter level inverter capacitor fed level inverter feed im drive side extended linear modulation range till base speed', 'single dc source multilevel inverter extended linear modulation range base speed predictive capacitor control induction machine drive']",publication
72,67,72_convection_porous_saturate_vertical,"['convection', 'porous', 'saturate', 'vertical', 'fluid', 'thermosolutal', 'layer', 'throughflow', 'anisotropic', 'oldroyd']","['convection heat transfer porous medium saturate oldroyd fluid review', 'impact thermal non equilibrium stability natural convection oldroyd fluid saturate vertical porous layer internal heat source', 'weakly nonlinear stability thermosolutal convection oldroyd fluid saturate anisotropic porous layer local thermal nonequilibrium model']",publication
73,65,73_guidance_landing_quadrotor_sight,"['guidance', 'landing', 'quadrotor', 'sight', 'law', 'mpsp', 'target', 'angle', 'constrained', 'bifurcation']","['multi phase mpsp guidance lunar soft landing', 'bézier curve base guidance autonomous landing quadrotor', 'approach landing guidance constrained model predictive static programming']",publication
74,65,74_mems_piezoelectric_diaphragm_transducer,"['mems', 'piezoelectric', 'diaphragm', 'transducer', 'piezoresistive', 'resonator', 'acoustic', 'ultrasound', 'piezo', 'resonators']","['impact diaphragm structure linearity temperature sensitivity low pressure piezo resistive mems pressure sensor', 'performance analysis optical mems base pressure sensor ring resonators structure circular diaphragm', 'ultrasensitive pressure sensor base integrated circular piezoelectric mems resonator diaphragm structure']",publication
75,64,75_entropy_alloy_refractory_high,"['entropy', 'alloy', 'refractory', 'high', 'equiatomic', 'cocrfemnni', 'eutectic', 'bcc', 'deformation', 'crmnfeconi']","['alloy design phase selection rule high entropy alloy', 'high strain rate deformation behavior al0.65cocrfe2ni dual phase high entropy alloy', 'high entropy alloy coating']",publication
76,64,76_iot_intrusion_threat_botnet,"['iot', 'intrusion', 'threat', 'botnet', 'attack', 'anomaly', 'detection', 'attacks', 'deep', 'enterprise']","['real time iot intrusion detection lightweight graph neural network approach', 'network intrusion detection iot botnet attacks ml algorithms', 'ai iot base intrusion detection system enhanced smart home security']",publication
77,64,77_fog_computing_sdn_defined,"['fog', 'computing', 'sdn', 'defined', 'edge', 'software', 'arjun', 'controller', 'mobile', 'offloading']","['mobile cloud offloading framework shubha rao sneha girish ananthanarayanan venkitakrishnan arjun arjun chandra int j. appl math ijam pissn 1311 1728 eissn 1314 8060 vol 39 2026 author shubha rao sneha girish ananthanarayanan venkitakrishnan arjun arjun chan', 'novel task offloading scheduling framework fog computing', 'study scheduling fog computing']",publication
78,64,78_co2_oxygen_reaction_ceria,"['co2', 'oxygen', 'reaction', 'ceria', 'electrocatalyst', 'electrolysis', 'operando', 'oxidation', 'catalyst', 'cu']","['oxygen reduction reaction solid oxide fuel cell', 'operando insight co2 electrolysis pr gd dope ceria electrode role h2', 'oxygen reduction reaction fe dope cu oxide electrode']",publication
79,62,79_magnesium_texture_al_alloy,"['magnesium', 'texture', 'al', 'alloy', 'mg', 'microstructure', 'rolling', 'zr', 'sc', 'aa2195']","['influence cold rolling thermal treatment microstructure texture evolution tensile behaviour high strength al co sc zr alloy', 'influence cold rolling thermal treatment microstructure texture evolution tensile behaviour high strength al co sc zr alloy', 'texture transition al mg alloy effect magnesium']",publication
80,61,80_microgrid_droop_microgrids_dc,"['microgrid', 'droop', 'microgrids', 'dc', 'parallel', 'grid', 'protection', 'micro', 'pole', 'control']","['reverse droop control strategy virtual resistance low voltage microgrid multiple distribute generation source', 'design implementation hybrid microgrid', 'frequency voltage droop control parallel inverter microgrid']",publication
81,59,81_monolayer_mos_mos2_defect,"['monolayer', 'mos', 'mos2', 'defect', 'fet', 'cvd', 'tmd', 'transistor', 'gate', 'contacts']","['role surface processes growth monolayer mos implication field effect transistor', 'nature electrically induced defect cvd grow monolayer mos2', 'origin -type conductivity monolayer mos']",publication
82,59,82_disease_leaf_plant_rice,"['disease', 'leaf', 'plant', 'rice', 'q1', 'bigru', 'crop', 'medicinal', 'cnn', '15']","['study leaf disease deep learning', 'plant disease detection deep learning', 'deep learning base plant disease detection']",publication
